geneid	gene_symbol	uniprotid	dx	query
116	ADCYAP1	P18509	MDD	DisOntol_12294_1596
1240	CMKLR1	Q99788	MDD	DisOntol_12294_1596
1440	CSF3	P09919	MDD	DisOntol_12294_1596
153	ADRB1	P08588	MDD	DisOntol_12294_1596
1742	DLG4	P78352	MDD	DisOntol_12294_1596
1803	DPP4	P27487	MDD	DisOntol_12294_1596
1960	EGR3	Q06889	MDD	DisOntol_12294_1596
2182	ACSL4	O60488	MDD	DisOntol_12294_1596
23286	WWC1	Q8IX03	MDD	DisOntol_12294_1596
2346	FOLH1	Q04609	MDD	DisOntol_12294_1596
2559	GABRA6	Q16445	MDD	DisOntol_12294_1596
2752	GLUL	P15104	MDD	DisOntol_12294_1596
282706	DAOA-AS1		MDD	DisOntol_12294_1596
2899	GRIK3	Q13003	MDD	DisOntol_12294_1596
2996	GYPE	P15421	MDD	DisOntol_12294_1596
319100	TAAR6	Q96RI8	MDD	DisOntol_12294_1596
326625	MMAB	Q96EY8	MDD	DisOntol_12294_1596
3352	HTR1D	P28221	MDD	DisOntol_12294_1596
3570	IL6R	P08887	MDD	DisOntol_12294_1596
361	AQP4	P55087	MDD	DisOntol_12294_1596
3763	KCNJ6	P48051	MDD	DisOntol_12294_1596
387129	NPSR1	Q6W5P4	MDD	DisOntol_12294_1596
3976	LIF	P15018	MDD	DisOntol_12294_1596
4048	LTA4H	P09960	MDD	DisOntol_12294_1596
4074	M6PR	P20645	MDD	DisOntol_12294_1596
4157	MC1R	Q01726	MDD	DisOntol_12294_1596
4160	MC4R	P32245	MDD	DisOntol_12294_1596
4282	MIF	P14174	MDD	DisOntol_12294_1596
438	ASMT	P46597	MDD	DisOntol_12294_1596
467	ATF3	P18847	MDD	DisOntol_12294_1596
4922	NTS	P30990	MDD	DisOntol_12294_1596
4939	OAS2	P29728	MDD	DisOntol_12294_1596
5020	OXT	P01178	MDD	DisOntol_12294_1596
5144	PDE4D	Q08499	MDD	DisOntol_12294_1596
51555	PEX5L	Q8IYB4	MDD	DisOntol_12294_1596
51738	GHRL	Q9UBU3	MDD	DisOntol_12294_1596
5320	PLA2G2A	P14555	MDD	DisOntol_12294_1596
5368	PNOC	Q13519	MDD	DisOntol_12294_1596
53919	SLCO1C1	Q9NYB5	MDD	DisOntol_12294_1596
55315	SLC29A3	Q9BZD2	MDD	DisOntol_12294_1596
5599	MAPK8	P45983	MDD	DisOntol_12294_1596
5607	MAP2K5	Q13163	MDD	DisOntol_12294_1596
5697	PYY	P10082	MDD	DisOntol_12294_1596
5996	RGS1	Q08116	MDD	DisOntol_12294_1596
63891	RNF123	Q5XPI4	MDD	DisOntol_12294_1596
6853	SYN1	P17600	MDD	DisOntol_12294_1596
7088	TLE1	Q04724	MDD	DisOntol_12294_1596
805	CALM2	P0DP23;P0DP24;P0DP25	MDD	DisOntol_12294_1596
84152	PPP1R1B	Q9UD71	MDD	DisOntol_12294_1596
85458	DIXDC1	Q155Q3	MDD	DisOntol_12294_1596
9177	HTR3B	O95264	MDD	DisOntol_12294_1596
9211	LGI1	O95970	MDD	DisOntol_12294_1596
6281	S100A10	P60903	MDD	DisOntol_12294_1596
23345	SYNE1	Q8NF91	MDD	DisOntol_12294_1596
140691	TRIM69	Q86WT6	MDD	DisOntol_12294_1596
5806	PTX3	P26022	MDD	DisOntol_12294_1596
1005	CDH7	Q9ULB5	MDD	DisOntol_12294_1596
10193	RNF41	Q9H4P4	MDD	DisOntol_12294_1596
10270	AKAP8	O43823	MDD	DisOntol_12294_1596
1029	CDKN2A	P42771;Q8N726	MDD	DisOntol_12294_1596
10452	TOMM40	O96008	MDD	DisOntol_12294_1596
10522	DEAF1	O75398	MDD	DisOntol_12294_1596
11009	IL24	Q13007	MDD	DisOntol_12294_1596
111	ADCY5	O95622	MDD	DisOntol_12294_1596
114131	UCN3	Q969E3	MDD	DisOntol_12294_1596
116285	ACSM1	Q08AH1	MDD	DisOntol_12294_1596
1267	CNP	P09543	MDD	DisOntol_12294_1596
1439	CSF2RB	P32927	MDD	DisOntol_12294_1596
145270	PRIMA1	Q86XR5	MDD	DisOntol_12294_1596
148	ADRA1A	P35348	MDD	DisOntol_12294_1596
1493	CTLA4	P16410	MDD	DisOntol_12294_1596
1501	CTNND2	Q9UQB3	MDD	DisOntol_12294_1596
1975	EIF4B	P23588	MDD	DisOntol_12294_1596
2012	EMP1	P54849	MDD	DisOntol_12294_1596
202333	CMYA5	Q8N3K9	MDD	DisOntol_12294_1596
2065	ERBB3	P21860	MDD	DisOntol_12294_1596
26047	CNTNAP2	Q9UHC6	MDD	DisOntol_12294_1596
27022	FOXD3	Q9UJU5	MDD	DisOntol_12294_1596
290	ANPEP	P15144	MDD	DisOntol_12294_1596
30009	TBX21	Q9UL17	MDD	DisOntol_12294_1596
3091	HIF1A	Q16665	MDD	DisOntol_12294_1596
3131	HLF	Q16534	MDD	DisOntol_12294_1596
3304	HSPA1B	P0DMV8;P0DMV9	MDD	DisOntol_12294_1596
353	APRT	P07741	MDD	DisOntol_12294_1596
3559	IL2RA	P01589	MDD	DisOntol_12294_1596
3589	IL11	P20809	MDD	DisOntol_12294_1596
3665	IRF7	Q92985	MDD	DisOntol_12294_1596
3791	KDR	P35968	MDD	DisOntol_12294_1596
3839	KPNA3	O00505	MDD	DisOntol_12294_1596
3939	LDHA	P00338	MDD	DisOntol_12294_1596
4035	LRP1	Q07954	MDD	DisOntol_12294_1596
4045	LSAMP	Q13449	MDD	DisOntol_12294_1596
407034	MIR30E		MDD	DisOntol_12294_1596
4074	M6PR	P20645	MDD	DisOntol_12294_1596
408	ARRB1	P49407	MDD	DisOntol_12294_1596
410	ARSA	P15289	MDD	DisOntol_12294_1596
4194	MDM4	O15151	MDD	DisOntol_12294_1596
4353	MPO	P05164	MDD	DisOntol_12294_1596
4729	NDUFV2	P19404	MDD	DisOntol_12294_1596
4745	NELL1	Q92832	MDD	DisOntol_12294_1596
4747	NEFL	P07196	MDD	DisOntol_12294_1596
4916	NTRK3	Q16288	MDD	DisOntol_12294_1596
4929	NR4A2	P43354	MDD	DisOntol_12294_1596
4939	OAS2	P29728	MDD	DisOntol_12294_1596
50604	IL20	Q9NYY1	MDD	DisOntol_12294_1596
50863	NTM	Q9P121	MDD	DisOntol_12294_1596
50940	PDE11A	Q9HCR9	MDD	DisOntol_12294_1596
51284	TLR7	Q9NYK1	MDD	DisOntol_12294_1596
51291	GMIP	Q9P107	MDD	DisOntol_12294_1596
52	ACP1	P24666	MDD	DisOntol_12294_1596
5209	PFKFB3	Q16875	MDD	DisOntol_12294_1596
5340	PLG	P00747	MDD	DisOntol_12294_1596
540	ATP7B	P35670	MDD	DisOntol_12294_1596
54862	CC2D1A	Q6P1N0	MDD	DisOntol_12294_1596
55784	MCTP2	Q6DN12	MDD	DisOntol_12294_1596
5579	PRKCB	P05771	MDD	DisOntol_12294_1596
5604	MAP2K1	Q02750	MDD	DisOntol_12294_1596
5692	PSMB4	P28070	MDD	DisOntol_12294_1596
57084	SLC17A6	Q9P2U8	MDD	DisOntol_12294_1596
5806	PTX3	P26022	MDD	DisOntol_12294_1596
595	CCND1	P24385	MDD	DisOntol_12294_1596
607	BCL9	O00512	MDD	DisOntol_12294_1596
613	BCR	P11274	MDD	DisOntol_12294_1596
624	BDKRB2	P30411	MDD	DisOntol_12294_1596
6347	CCL2	P13500	MDD	DisOntol_12294_1596
6369	CCL24	O00175	MDD	DisOntol_12294_1596
64067	NPAS3	Q8IXF0	MDD	DisOntol_12294_1596
64854	USP46	P62068	MDD	DisOntol_12294_1596
65018	PINK1	Q9BXM7	MDD	DisOntol_12294_1596
65059	RAPH1	Q70E73	MDD	DisOntol_12294_1596
6511	SLC1A6	P48664	MDD	DisOntol_12294_1596
655	BMP7	P18075	MDD	DisOntol_12294_1596
6586	SLIT3	O75094	MDD	DisOntol_12294_1596
6844	VAMP2	P63027	MDD	DisOntol_12294_1596
7015	TERT	O14746	MDD	DisOntol_12294_1596
7024	TFCP2	Q12800	MDD	DisOntol_12294_1596
7297	TYK2	P29597	MDD	DisOntol_12294_1596
7704	ZBTB16	Q05516	MDD	DisOntol_12294_1596
7804	LRP8	Q14114	MDD	DisOntol_12294_1596
7905	REEP5	Q00765	MDD	DisOntol_12294_1596
8484	GALR3	O60755	MDD	DisOntol_12294_1596
8682	PEA15	Q15121	MDD	DisOntol_12294_1596
886	CCKAR	P32238	MDD	DisOntol_12294_1596
8997	KALRN	O60229	MDD	DisOntol_12294_1596
9048	ARTN	Q5T4W7	MDD	DisOntol_12294_1596
93986	FOXP2	O15409	MDD	DisOntol_12294_1596
9444	QKI	Q96PU8	MDD	DisOntol_12294_1596
9568	GABBR2	O75899	MDD	DisOntol_12294_1596
9695	EDEM1	Q92611	MDD	DisOntol_12294_1596
9968	MED12	Q93074	MDD	DisOntol_12294_1596
1135	CHRNA2	Q15822	MDD	DisOntol_12294_1596
1142	CHRNB3	Q05901	MDD	DisOntol_12294_1596
114784	CSMD2	Q7Z408	MDD	DisOntol_12294_1596
125958	OR7D4	Q8NG98	MDD	DisOntol_12294_1596
15	AANAT	Q16613	MDD	DisOntol_12294_1596
1607	DGKB	Q9Y6T7	MDD	DisOntol_12294_1596
1846	DUSP4	Q13115	MDD	DisOntol_12294_1596
1848	DUSP6	Q16828	MDD	DisOntol_12294_1596
2	A2M	P01023	MDD	DisOntol_12294_1596
2263	FGFR2	P21802	MDD	DisOntol_12294_1596
238	ALK	Q9UM73	MDD	DisOntol_12294_1596
2556	GABRA3	P34903	MDD	DisOntol_12294_1596
26281	FGF20	Q9NP95	MDD	DisOntol_12294_1596
27121	DKK4	Q9UBT3	MDD	DisOntol_12294_1596
2894	GRID1	Q9ULK0	MDD	DisOntol_12294_1596
2896	GRN	P28799	MDD	DisOntol_12294_1596
2911	GRM1	Q13255	MDD	DisOntol_12294_1596
2925	GRPR	P30550	MDD	DisOntol_12294_1596
2952	GSTT1	P30711	MDD	DisOntol_12294_1596
3061	HCRTR1	O43613	MDD	DisOntol_12294_1596
3613	IMPA2	O14732	MDD	DisOntol_12294_1596
3976	LIF	P15018	MDD	DisOntol_12294_1596
409	ARRB2	P32121	MDD	DisOntol_12294_1596
468	ATF4	P18848	MDD	DisOntol_12294_1596
4741	NEFM	P07197	MDD	DisOntol_12294_1596
478	ATP1A3	P13637	MDD	DisOntol_12294_1596
4862	NPAS2	Q99743	MDD	DisOntol_12294_1596
488	ATP2A2	P16615	MDD	DisOntol_12294_1596
5179	PENK	P01210	MDD	DisOntol_12294_1596
54738	FEV	Q99581	MDD	DisOntol_12294_1596
5533	PPP3CC	P48454	MDD	DisOntol_12294_1596
5584	PRKCI	P41743	MDD	DisOntol_12294_1596
573	BAG1	Q99933	MDD	DisOntol_12294_1596
6422	SFRP1	Q8N474	MDD	DisOntol_12294_1596
6505	SLC1A1	P43005	MDD	DisOntol_12294_1596
6529	SLC6A1	P30531	MDD	DisOntol_12294_1596
6616	SNAP25	P60880	MDD	DisOntol_12294_1596
6715	SRD5A1	P18405	MDD	DisOntol_12294_1596
866	SERPINA6	P08185	MDD	DisOntol_12294_1596
8822	FGF17	O60258	MDD	DisOntol_12294_1596
8910	SGCE	O43556	MDD	DisOntol_12294_1596
8973	CHRNA6	Q15825	MDD	DisOntol_12294_1596
9095	TBX19	O60806	MDD	DisOntol_12294_1596
9639	ARHGEF10	O15013	MDD	DisOntol_12294_1596
10014	HDAC5	Q9UQL6	MDD	DisOntol_12294_1596
10855	HPSE	Q9Y251	MDD	DisOntol_12294_1596
10963	STIP1	P31948	MDD	DisOntol_12294_1596
1135	CHRNA2	Q15822	MDD	DisOntol_12294_1596
1142	CHRNB3	Q05901	MDD	DisOntol_12294_1596
114784	CSMD2	Q7Z408	MDD	DisOntol_12294_1596
125958	OR7D4	Q8NG98	MDD	DisOntol_12294_1596
15	AANAT	Q16613	MDD	DisOntol_12294_1596
1607	DGKB	Q9Y6T7	MDD	DisOntol_12294_1596
1816	DRD5	P21918	MDD	DisOntol_12294_1596
1846	DUSP4	Q13115	MDD	DisOntol_12294_1596
2	A2M	P01023	MDD	DisOntol_12294_1596
2263	FGFR2	P21802	MDD	DisOntol_12294_1596
23705	CADM1	Q9BY67	MDD	DisOntol_12294_1596
238	ALK	Q9UM73	MDD	DisOntol_12294_1596
2495	FTH1	P02794	MDD	DisOntol_12294_1596
2512	FTL	P02792	MDD	DisOntol_12294_1596
2556	GABRA3	P34903	MDD	DisOntol_12294_1596
26281	FGF20	Q9NP95	MDD	DisOntol_12294_1596
27121	DKK4	Q9UBT3	MDD	DisOntol_12294_1596
2782	GNB1	P62873	MDD	DisOntol_12294_1596
2894	GRID1	Q9ULK0	MDD	DisOntol_12294_1596
2911	GRM1	Q13255	MDD	DisOntol_12294_1596
2925	GRPR	P30550	MDD	DisOntol_12294_1596
2931	GSK3A	P49840	MDD	DisOntol_12294_1596
2952	GSTT1	P30711	MDD	DisOntol_12294_1596
3061	HCRTR1	O43613	MDD	DisOntol_12294_1596
3613	IMPA2	O14732	MDD	DisOntol_12294_1596
409	ARRB2	P32121	MDD	DisOntol_12294_1596
468	ATF4	P18848	MDD	DisOntol_12294_1596
4741	NEFM	P07197	MDD	DisOntol_12294_1596
4862	NPAS2	Q99743	MDD	DisOntol_12294_1596
488	ATP2A2	P16615	MDD	DisOntol_12294_1596
4886	NPY1R	P25929	MDD	DisOntol_12294_1596
5179	PENK	P01210	MDD	DisOntol_12294_1596
5309	PITX3	O75364	MDD	DisOntol_12294_1596
54738	FEV	Q99581	MDD	DisOntol_12294_1596
5533	PPP3CC	P48454	MDD	DisOntol_12294_1596
5584	PRKCI	P41743	MDD	DisOntol_12294_1596
573	BAG1	Q99933	MDD	DisOntol_12294_1596
6403	SELP	P16109	MDD	DisOntol_12294_1596
6422	SFRP1	Q8N474	MDD	DisOntol_12294_1596
6505	SLC1A1	P43005	MDD	DisOntol_12294_1596
6529	SLC6A1	P30531	MDD	DisOntol_12294_1596
6715	SRD5A1	P18405	MDD	DisOntol_12294_1596
7038	TG	P01266	MDD	DisOntol_12294_1596
79053	ALG8	Q9BVK2	MDD	DisOntol_12294_1596
866	SERPINA6	P08185	MDD	DisOntol_12294_1596
8973	CHRNA6	Q15825	MDD	DisOntol_12294_1596
8988	HSPB3	Q12988	MDD	DisOntol_12294_1596
9095	TBX19	O60806	MDD	DisOntol_12294_1596
9639	ARHGEF10	O15013	MDD	DisOntol_12294_1596
3303	HSPA1A	P0DMV8;P0DMV9	MDD	DisOntol_12294_1596
3304	HSPA1B	P0DMV8;P0DMV9	MDD	DisOntol_12294_1596
3305	HSPA1L	P34931	MDD	DisOntol_12294_1596
56267	KYAT3	Q6YP21	MDD	DisOntol_12294_1596
6403	SELP	P16109	MDD	DisOntol_12294_1596
7297	TYK2	P29597	MDD	DisOntol_12294_1596
10855	HPSE	Q9Y251	MDD	DisOntol_12294_1596
10964	IFI44L	Q53G44	MDD	DisOntol_12294_1596
1644	DDC	P20711	MDD	DisOntol_12294_1596
1740	DLG2	Q15700	MDD	DisOntol_12294_1596
2537	IFI6	P09912	MDD	DisOntol_12294_1596
2587	GALR1	P47211	MDD	DisOntol_12294_1596
25890	ABI3BP	Q7Z7G0	MDD	DisOntol_12294_1596
3164	NR4A1	P22736	MDD	DisOntol_12294_1596
3305	HSPA1L	P34931	MDD	DisOntol_12294_1596
3320	HSP90AA1	P07900	MDD	DisOntol_12294_1596
4133	MAP2	P11137	MDD	DisOntol_12294_1596
4317	MMP8	P22894	MDD	DisOntol_12294_1596
4723	NDUFV1	P49821	MDD	DisOntol_12294_1596
5020	OXT	P01178	MDD	DisOntol_12294_1596
51593	SRRT	Q9BXP5	MDD	DisOntol_12294_1596
56267	KYAT3	Q6YP21	MDD	DisOntol_12294_1596
60482	SLC5A7	Q9GZV3	MDD	DisOntol_12294_1596
6540	SLC6A13	Q9NSD5	MDD	DisOntol_12294_1596
6662	SOX9	P48436	MDD	DisOntol_12294_1596
6755	SSTR5	P35346	MDD	DisOntol_12294_1596
7498	XDH	P47989	MDD	DisOntol_12294_1596
815	CAMK2A	Q9UQM7	MDD	DisOntol_12294_1596
947	CD34	P28906	MDD	DisOntol_12294_1596
9632	SEC24C	P53992	MDD	DisOntol_12294_1596
9636	ISG15	P05161	MDD	DisOntol_12294_1596
57680	CHD8	Q9HCK8	ASD	DisOntol_0060041
9379	NRXN2	P58401;Q9P2S2	ASD	DisOntol_0060041
26047	CNTNAP2	Q9UHC6	ASD	DisOntol_0060041
85358	SHANK3	Q9BYB0	ASD	DisOntol_0060041
54413	NLGN3	Q9NZ94	ASD	DisOntol_0060041
9378	NRXN1	P58400;Q9ULB1	ASD	DisOntol_0060041
2020	EN2	P19622	ASD	DisOntol_0060041
1742	DLG4	P78352	ASD	DisOntol_0060041
2562	GABRB3	P28472	ASD	DisOntol_0060041
6323	SCN1A	P35498	ASD	DisOntol_0060041
4208	MEF2C	Q06413	ASD	DisOntol_0060041
139411	PTCHD1	Q96NR3	ASD	DisOntol_0060041
5021	OXTR	P30559	ASD	DisOntol_0060041
552	AVPR1A	P37288	ASD	DisOntol_0060041
5649	RELN	P78509	ASD	DisOntol_0060041
57502	NLGN4X	Q8N0W4	ASD	DisOntol_0060041
627	BDNF	P23560	ASD	DisOntol_0060041
2904	GRIN2B	Q13224	ASD	DisOntol_0060041
27086	FOXP1	Q9H334	ASD	DisOntol_0060041
3690	ITGB3	P05106	ASD	DisOntol_0060041
11141	IL1RAPL1	Q9NZN1	ASD	DisOntol_0060041
1804	DPP6	P42658	ASD	DisOntol_0060041
10743	RAI1	Q7Z5J4	ASD	DisOntol_0060041
1806	DPYD	Q12882	ASD	DisOntol_0060041
1106	CHD2	O14647	ASD	DisOntol_0060041
29123	ANKRD11	Q6UB99	ASD	DisOntol_0060041
9369	NRXN3	Q9HDB5;Q9Y4C0	ASD	DisOntol_0060041
1008	CDH10	Q9Y6N8	ASD	DisOntol_0060041
3720	JARID2	Q92833	ASD	DisOntol_0060041
4543	MTNR1A	P48039	ASD	DisOntol_0060041
57616	TSHZ3	Q63HK5	ASD	DisOntol_0060041
6262	RYR2	Q92736	ASD	DisOntol_0060041
6505	SLC1A1	P43005	ASD	DisOntol_0060041
9248	GPR50	Q13585	ASD	DisOntol_0060041
9320	TRIP12	Q14669	ASD	DisOntol_0060041
95681	CEP41	Q9BYV8	ASD	DisOntol_0060041
151531	UPP2	O95045	ASD	DisOntol_0060041
1745	DLX1	P56177	ASD	DisOntol_0060041
1788	DNMT3A	Q9Y6K1	ASD	DisOntol_0060041
205428	DIPK2A	Q8NDZ4	ASD	DisOntol_0060041
23181	DIP2A	Q14689	ASD	DisOntol_0060041
25942	SIN3A	Q96ST3	ASD	DisOntol_0060041
2742	GLRA2	P23416	ASD	DisOntol_0060041
2969	GTF2I	P78347	ASD	DisOntol_0060041
3077	HFE	Q30201	ASD	DisOntol_0060041
4544	MTNR1B	P49286	ASD	DisOntol_0060041
5053	PAH	P00439	ASD	DisOntol_0060041
5101	PCDH9	Q9HC56	ASD	DisOntol_0060041
54738	FEV	Q99581	ASD	DisOntol_0060041
57628	DPP10	Q8N608	ASD	DisOntol_0060041
5915	RARB	P10826	ASD	DisOntol_0060041
7399	USH2A	O75445	ASD	DisOntol_0060041
79742	DIPK2B	Q9H7Y0	ASD	DisOntol_0060041
80312	TET1	Q8NFU7	ASD	DisOntol_0060041
10319	LAMC3	Q9Y6N6	ASD	DisOntol_0060041
1153	CIRBP	Q14011	ASD	DisOntol_0060041
128239	IQGAP3	Q86VI3	ASD	DisOntol_0060041
1718	DHCR24	Q15392	ASD	DisOntol_0060041
1734	DIO2	Q92813	ASD	DisOntol_0060041
1735	DIO3	P55073	ASD	DisOntol_0060041
1789	DNMT3B	Q9UBC3	ASD	DisOntol_0060041
200424	TET3	O43151	ASD	DisOntol_0060041
2053	EPHX2	P34913	ASD	DisOntol_0060041
23040	MYT1L	Q9UL68	ASD	DisOntol_0060041
23152	CIC	Q96RK0	ASD	DisOntol_0060041
23462	HEY1	Q9Y5J3	ASD	DisOntol_0060041
2558	GABRA5	P31644	ASD	DisOntol_0060041
285175	UNC80	Q8N2C7	ASD	DisOntol_0060041
347731	LRRTM3	Q86VH5	ASD	DisOntol_0060041
4923	NTSR1	P30989	ASD	DisOntol_0060041
54221	SNTG2	Q9NY99	ASD	DisOntol_0060041
54674	LRRN3	Q9H3W5	ASD	DisOntol_0060041
54888	NSUN2	Q08J23	ASD	DisOntol_0060041
55879	GABRQ	Q9UN88	ASD	DisOntol_0060041
619554	MIR486-1		ASD	DisOntol_0060041
6433	SFSWAP	Q12872	ASD	DisOntol_0060041
6567	SLC16A2	P36021	ASD	DisOntol_0060041
6660	SOX5	P35711	ASD	DisOntol_0060041
6662	SOX9	P48436	ASD	DisOntol_0060041
6907	TBL1X	O60907	ASD	DisOntol_0060041
760	CA2	P00918	ASD	DisOntol_0060041
79641	ROGDI	Q9GZN7	ASD	DisOntol_0060041
80821	DDHD1	Q8NEL9	ASD	DisOntol_0060041
83992	CTTNBP2	Q8WZ74	ASD	DisOntol_0060041
9147	NEMF	O60524	ASD	DisOntol_0060041
6531	SLC6A3	Q01959	ADHD	DisOntol_1094
23284	ADGRL3	Q9HAR2	ADHD	DisOntol_1094
1141	CHRNB2	P17787	ADHD	DisOntol_1094
1815	DRD4	P21917	ADHD	DisOntol_1094
28964	GIT1	Q9Y2X7	ADHD	DisOntol_1094
6869	TACR1	P25103	ADHD	DisOntol_1094
1312	COMT	P21964	ADHD	DisOntol_1094
1815	DRD4	P21917	ADHD	DisOntol_1094
1816	DRD5	P21918	ADHD	DisOntol_1094
412	STS	P08842	ADHD	DisOntol_1094
2915	GRM5	P41594	ADHD	DisOntol_1094
2245	FGD1	P98174	ADHD	DisOntol_1094
57412	AS3MT	Q9HBK9	ADHD	DisOntol_1094
121278	TPH2	Q8IWU9	ADHD	DisOntol_1094
1813	DRD2	P14416	ADHD	DisOntol_1094
23152	CIC	Q96RK0	ADHD	DisOntol_1094
23284	ADGRL3	Q9HAR2	ADHD	DisOntol_1094
6531	SLC6A3	Q01959	ADHD	DisOntol_1094
9969	MED13	Q9UHV7	ADHD	DisOntol_1094
1137	CHRNA4	P43681	ADHD	DisOntol_1094
2917	GRM7	Q14831	ADHD	DisOntol_1094
1268	CNR1	P21554	ADHD	DisOntol_1094
28964	GIT1	Q9Y2X7	ADHD	DisOntol_1094
6869	TACR1	P25103	ADHD	DisOntol_1094
2918	GRM8	O00222	ADHD	DisOntol_1094
1813	DRD2	P14416	ADHD	DisOntol_1094
2917	GRM7	Q14831	ADHD	DisOntol_1094
50632	CALY	Q9NYX4	ADHD	DisOntol_1094
5789	PTPRD	P23468	ADHD	DisOntol_1094
1137	CHRNA4	P43681	ADHD	DisOntol_1094
121278	TPH2	Q8IWU9	ADHD	DisOntol_1094
1268	CNR1	P21554	ADHD	DisOntol_1094
1312	COMT	P21964	ADHD	DisOntol_1094
1816	DRD5	P21918	ADHD	DisOntol_1094
2245	FGD1	P98174	ADHD	DisOntol_1094
23152	CIC	Q96RK0	ADHD	DisOntol_1094
2911	GRM1	Q13255	ADHD	DisOntol_1094
2915	GRM5	P41594	ADHD	DisOntol_1094
2918	GRM8	O00222	ADHD	DisOntol_1094
412	STS	P08842	ADHD	DisOntol_1094
50632	CALY	Q9NYX4	ADHD	DisOntol_1094
57412	AS3MT	Q9HBK9	ADHD	DisOntol_1094
5789	PTPRD	P23468	ADHD	DisOntol_1094
1141	CHRNB2	P17787	ADHD	DisOntol_1094
23036	ZNF292	O60281	ADHD	DisOntol_1094
2911	GRM1	Q13255	ADHD	DisOntol_1094
1571	CYP2E1	P05181	AUD	DisOntol_1574
4852	NPY	P01303	AUD	DisOntol_1574
125	ADH1B	P00325	AUD	DisOntol_1574
126	ADH1C	P00326	AUD	DisOntol_1574
217	ALDH2	P05091	AUD	DisOntol_1574
2555	GABRA2	P47869	AUD	DisOntol_1574
3356	HTR2A	P28223	AUD	DisOntol_1574
1571	CYP2E1	P05181	AUD	DisOntol_1574
4852	NPY	P01303	AUD	DisOntol_1574
4988	OPRM1	P35372	AUD	DisOntol_1574
5173	PDYN	P01213	AUD	DisOntol_1574
6532	SLC6A4	P31645	AUD	DisOntol_1574
125	ADH1B	P00325	AUD	DisOntol_1574
217	ALDH2	P05091	AUD	DisOntol_1574
6622	SNCA	P37840	AUD	DisOntol_1574
1813	DRD2	P14416	AUD	DisOntol_1574
1138	CHRNA5	P30532	AUD	DisOntol_1574
2550	GABBR1	Q9UBS5	AUD	DisOntol_1574
6869	TACR1	P25103	AUD	DisOntol_1574
5726	TAS2R38	P59533	AUD	DisOntol_1574
1136	CHRNA3	P32297	AUD	DisOntol_1574
2566	GABRG2	P18507	AUD	DisOntol_1574
4887	NPY2R	P49146	AUD	DisOntol_1574
886	CCKAR	P32238	AUD	DisOntol_1574
126	ADH1C	P00326	AUD	DisOntol_1574
2030	SLC29A1	Q99808	AUD	DisOntol_1574
2678	GGT1	P19440	AUD	DisOntol_1574
6462	SHBG	P04278	AUD	DisOntol_1574
6870	TACR3	P29371	AUD	DisOntol_1574
3356	HTR2A	P28223	AUD	DisOntol_1574
4313	MMP2	P08253	AUD	DisOntol_1574
4988	OPRM1	P35372	AUD	DisOntol_1574
6532	SLC6A4	P31645	AUD	DisOntol_1574
127	ADH4	P08319	AUD	DisOntol_1574
1392	CRH	P06850	AUD	DisOntol_1574
79068	FTO	Q9C0B1	AUD	DisOntol_1574
1496	CTNNA2	P26232	AUD	DisOntol_1574
347735	SERINC2	Q96SA4	AUD	DisOntol_1574
63876	PKNOX2	Q96KN3	AUD	DisOntol_1574
9674	KIAA0040	Q15053	AUD	DisOntol_1574
3763	KCNJ6	P48051	AUD	DisOntol_1574
400359	LINC02694	Q8NAA6	AUD	DisOntol_1574
80731	THSD7B	Q9C0I4	AUD	DisOntol_1574
10327	AKR1A1	P14550	AUD	DisOntol_1574
1129	CHRM2	P08172	AUD	DisOntol_1574
1312	COMT	P21964	AUD	DisOntol_1574
1394	CRHR1	P34998	AUD	DisOntol_1574
1621	DBH	P09172	AUD	DisOntol_1574
1813	DRD2	P14416	AUD	DisOntol_1574
1814	DRD3	P35462	AUD	DisOntol_1574
1815	DRD4	P21917	AUD	DisOntol_1574
255239	ANKK1	Q8NFD2	AUD	DisOntol_1574
3351	HTR1B	P28222	AUD	DisOntol_1574
4128	MAOA	P21397	AUD	DisOntol_1574
4986	OPRK1	P41145	AUD	DisOntol_1574
5443	POMC	P01189	AUD	DisOntol_1574
627	BDNF	P23560	AUD	DisOntol_1574
6531	SLC6A3	Q01959	AUD	DisOntol_1574
1392	CRH	P06850	AUD	DisOntol_1574
216	ALDH1A1	P00352	AUD	DisOntol_1574
4129	MAOB	P27338	AUD	DisOntol_1574
2904	GRIN2B	Q13224	AUD	DisOntol_1574
1268	CNR1	P21554	AUD	DisOntol_1574
131	ADH7	P40394	AUD	DisOntol_1574
3350	HTR1A	P08908	AUD	DisOntol_1574
3358	HTR2C	P28335	AUD	DisOntol_1574
4524	MTHFR	P42898	AUD	DisOntol_1574
7054	TH	P07101	AUD	DisOntol_1574
7166	TPH1	P17752	AUD	DisOntol_1574
2571	GAD1	Q99259	AUD	DisOntol_1574
2626	GATA4	P43694	AUD	DisOntol_1574
4790	NFKB1	P19838	AUD	DisOntol_1574
7200	TRH	P20396	AUD	DisOntol_1574
2554	GABRA1	P14867	AUD	DisOntol_1574
2559	GABRA6	Q16445	AUD	DisOntol_1574
2560	GABRB1	P18505	AUD	DisOntol_1574
2562	GABRB3	P28472	AUD	DisOntol_1574
2903	GRIN2A	Q12879	AUD	DisOntol_1574
3359	HTR3A	P46098	AUD	DisOntol_1574
