gene_id	chr
ENSG00000109107	chr17
ENSG00000109111	chr17
ENSG00000109113	chr17
ENSG00000109118	chr17
ENSG00000109132	chr4
ENSG00000109133	chr4
ENSG00000109158	chr4
ENSG00000109163	chr4
ENSG00000109171	chr4
ENSG00000109180	chr4
ENSG00000109182	chr4
ENSG00000109184	chr4
ENSG00000109189	chr4
ENSG00000109193	chr4
ENSG00000109205	chr4
ENSG00000109208	chr4
ENSG00000109220	chr4
ENSG00000109255	chr4
ENSG00000109265	chr4
ENSG00000109270	chr4
ENSG00000109272	chr4
ENSG00000109320	chr4
ENSG00000109321	chr4
ENSG00000109323	chr4
ENSG00000109332	chr4
ENSG00000109339	chr4
ENSG00000109381	chr4
ENSG00000109390	chr4
ENSG00000109424	chr4
ENSG00000109436	chr4
ENSG00000109445	chr4
ENSG00000109452	chr4
ENSG00000109458	chr4
ENSG00000109466	chr4
ENSG00000109471	chr4
ENSG00000109472	chr4
ENSG00000109475	chr4
ENSG00000109501	chr4
ENSG00000109511	chr4
ENSG00000109519	chr4
ENSG00000109534	chr4
ENSG00000109536	chr4
ENSG00000109572	chr4
ENSG00000109576	chr4
ENSG00000109586	chr4
ENSG00000109606	chr4
ENSG00000109610	chr4
ENSG00000109618	chr4
ENSG00000109654	chr4
ENSG00000109667	chr4
ENSG00000109670	chr4
ENSG00000109674	chr4
ENSG00000109680	chr4
ENSG00000109684	chr4
ENSG00000109685	chr4
ENSG00000109686	chr4
ENSG00000109689	chr4
ENSG00000109705	chr4
ENSG00000109736	chr4
ENSG00000109738	chr4
ENSG00000109743	chr4
ENSG00000109756	chr4
ENSG00000109758	chr4
ENSG00000109762	chr4
ENSG00000109771	chr4
ENSG00000109775	chr4
ENSG00000109787	chr4
ENSG00000109790	chr4
ENSG00000109794	chr4
ENSG00000109805	chr4
ENSG00000109814	chr4
ENSG00000109819	chr4
ENSG00000109832	chr11
ENSG00000109846	chr11
ENSG00000109854	chr11
ENSG00000109861	chr11
ENSG00000109881	chr11
ENSG00000109906	chr11
ENSG00000109911	chr11
ENSG00000109917	chr11
ENSG00000109919	chr11
ENSG00000109920	chr11
ENSG00000109927	chr11
ENSG00000109929	chr11
ENSG00000109943	chr11
ENSG00000109944	chr11
ENSG00000109956	chr11
ENSG00000109971	chr11
ENSG00000109991	chr11
ENSG00000110002	chr11
ENSG00000110011	chr11
ENSG00000110013	chr11
ENSG00000110025	chr11
ENSG00000110031	chr11
ENSG00000110042	chr11
ENSG00000110046	chr11
ENSG00000110047	chr11
ENSG00000110048	chr11
ENSG00000110057	chr11
ENSG00000110060	chr11
ENSG00000110063	chr11
ENSG00000110066	chr11
ENSG00000110074	chr11
ENSG00000110075	chr11
ENSG00000110076	chr11
ENSG00000110077	chr11
ENSG00000110079	chr11
ENSG00000110080	chr11
ENSG00000110090	chr11
ENSG00000110092	chr11
ENSG00000110104	chr11
ENSG00000110107	chr11
ENSG00000110108	chr11
ENSG00000110148	chr11
ENSG00000110169	chr11
ENSG00000110171	chr11
ENSG00000110172	chr11
ENSG00000110195	chr11
ENSG00000110200	chr11
ENSG00000110203	chr11
ENSG00000110218	chr11
ENSG00000110237	chr11
ENSG00000110243	chr11
ENSG00000110244	chr11
ENSG00000110245	chr11
ENSG00000110274	chr11
ENSG00000110315	chr11
ENSG00000110318	chr11
ENSG00000110321	chr11
ENSG00000110324	chr11
ENSG00000110328	chr11
ENSG00000110330	chr11
ENSG00000110344	chr11
ENSG00000110367	chr11
ENSG00000110375	chr11
ENSG00000110395	chr11
ENSG00000110400	chr11
ENSG00000110422	chr11
ENSG00000110427	chr11
ENSG00000110429	chr11
ENSG00000110435	chr11
ENSG00000110436	chr11
ENSG00000110442	chr11
ENSG00000110446	chr11
ENSG00000110448	chr11
ENSG00000110455	chr11
ENSG00000110484	chr11
ENSG00000110492	chr11
ENSG00000110497	chr11
ENSG00000110514	chr11
ENSG00000110536	chr11
ENSG00000110583	chr11
ENSG00000110619	chr11
ENSG00000110628	chr11
ENSG00000110651	chr11
ENSG00000110660	chr11
ENSG00000110665	chr11
ENSG00000110675	chr11
ENSG00000110680	chr11
ENSG00000110693	chr11
ENSG00000110696	chr11
ENSG00000110697	chr11
ENSG00000110700	chr11
ENSG00000110711	chr11
ENSG00000110713	chr11
ENSG00000110717	chr11
ENSG00000110719	chr11
ENSG00000110721	chr11
ENSG00000110723	chr11
ENSG00000110756	chr11
ENSG00000110768	chr11
ENSG00000110777	chr11
ENSG00000110786	chr11
ENSG00000110799	chr12
ENSG00000110801	chr12
ENSG00000110811	chr12
ENSG00000110841	chr12
ENSG00000110844	chr12
ENSG00000110848	chr12
ENSG00000110851	chr12
ENSG00000110852	chr12
ENSG00000110871	chr12
ENSG00000110876	chr12
ENSG00000110880	chr12
ENSG00000110881	chr12
ENSG00000110887	chr12
ENSG00000110888	chr12
ENSG00000110900	chr12
ENSG00000110906	chr12
ENSG00000110911	chr12
ENSG00000110917	chr12
ENSG00000110921	chr12
ENSG00000110925	chr12
ENSG00000110931	chr12
ENSG00000110934	chr12
ENSG00000110944	chr12
ENSG00000110955	chr12
ENSG00000110958	chr12
ENSG00000110975	chr12
ENSG00000110987	chr12
ENSG00000111011	chr12
ENSG00000111012	chr12
ENSG00000111046	chr12
ENSG00000111052	chr12
ENSG00000111057	chr12
ENSG00000111058	chr12
ENSG00000111077	chr12
ENSG00000111087	chr12
ENSG00000111110	chr12
ENSG00000111142	chr12
ENSG00000111144	chr12
ENSG00000111145	chr12
ENSG00000111181	chr12
ENSG00000111186	chr12
ENSG00000111196	chr12
ENSG00000111199	chr12
ENSG00000111203	chr12
ENSG00000111206	chr12
ENSG00000111215	chr12
ENSG00000111218	chr12
ENSG00000111224	chr12
ENSG00000111229	chr12
ENSG00000111231	chr12
ENSG00000111237	chr12
ENSG00000111245	chr12
ENSG00000111247	chr12
ENSG00000111249	chr12
ENSG00000111252	chr12
ENSG00000111254	chr12
ENSG00000111261	chr12
ENSG00000111262	chr12
ENSG00000111266	chr12
ENSG00000111269	chr12
ENSG00000111271	chr12
ENSG00000111275	chr12
ENSG00000111276	chr12
ENSG00000111300	chr12
ENSG00000111305	chr12
ENSG00000111319	chr12
ENSG00000111321	chr12
ENSG00000111325	chr12
ENSG00000111328	chr12
ENSG00000111331	chr12
ENSG00000111335	chr12
ENSG00000111339	chr12
ENSG00000111341	chr12
ENSG00000111344	chr12
ENSG00000111348	chr12
ENSG00000111358	chr12
ENSG00000111361	chr12
ENSG00000111364	chr12
ENSG00000111371	chr12
ENSG00000111404	chr12
ENSG00000111405	chr12
ENSG00000111412	chr12
ENSG00000111424	chr12
ENSG00000111432	chr12
ENSG00000111445	chr12
ENSG00000111450	chr12
ENSG00000111452	chr12
ENSG00000111481	chr12
ENSG00000111490	chr12
ENSG00000111530	chr12
ENSG00000111536	chr12
ENSG00000111537	chr12
ENSG00000111540	chr12
ENSG00000111554	chr12
ENSG00000111581	chr12
ENSG00000111596	chr12
ENSG00000111602	chr12
ENSG00000111605	chr12
ENSG00000111615	chr12
ENSG00000111639	chr12
ENSG00000111640	chr12
ENSG00000111641	chr12
ENSG00000111642	chr12
ENSG00000111644	chr12
ENSG00000111647	chr12
ENSG00000111652	chr12
ENSG00000111653	chr12
ENSG00000111664	chr12
ENSG00000111665	chr12
ENSG00000111666	chr12
ENSG00000111667	chr12
ENSG00000111669	chr12
ENSG00000111670	chr12
ENSG00000111671	chr12
ENSG00000111674	chr12
ENSG00000111676	chr12
ENSG00000111678	chr12
ENSG00000111679	chr12
ENSG00000111684	chr12
ENSG00000111696	chr12
ENSG00000111700	chr12
ENSG00000111704	chr12
ENSG00000111707	chr12
ENSG00000111711	chr12
ENSG00000111713	chr12
ENSG00000111716	chr12
ENSG00000111725	chr12
ENSG00000111726	chr12
ENSG00000111727	chr12
ENSG00000111728	chr12
ENSG00000111729	chr12
ENSG00000111731	chr12
ENSG00000111732	chr12
ENSG00000111737	chr12
ENSG00000111752	chr12
ENSG00000111775	chr12
ENSG00000111783	chr12
ENSG00000111785	chr12
ENSG00000111786	chr12
ENSG00000111790	chr12
ENSG00000111796	chr12
ENSG00000111799	chr6
ENSG00000111801	chr6
ENSG00000111802	chr6
ENSG00000111816	chr6
ENSG00000111817	chr6
ENSG00000111832	chr6
ENSG00000111834	chr6
ENSG00000111837	chr6
ENSG00000111843	chr6
ENSG00000111845	chr6
ENSG00000111846	chr6
ENSG00000111850	chr6
ENSG00000111859	chr6
ENSG00000111860	chr6
ENSG00000111863	chr6
ENSG00000111875	chr6
ENSG00000111877	chr6
ENSG00000111879	chr6
ENSG00000111880	chr6
ENSG00000111885	chr6
ENSG00000111886	chr6
ENSG00000111897	chr6
ENSG00000111906	chr6
ENSG00000111907	chr6
ENSG00000111911	chr6
ENSG00000111912	chr6
ENSG00000111913	chr6
ENSG00000111961	chr6
ENSG00000111962	chr6
ENSG00000111981	chr6
ENSG00000112029	chr6
ENSG00000112031	chr6
ENSG00000112033	chr6
ENSG00000112038	chr6
ENSG00000112039	chr6
ENSG00000112041	chr6
ENSG00000112053	chr6
ENSG00000112062	chr6
ENSG00000112077	chr6
ENSG00000112078	chr6
ENSG00000112079	chr6
ENSG00000112081	chr6
ENSG00000112110	chr6
ENSG00000112116	chr6
ENSG00000112118	chr6
ENSG00000112130	chr6
ENSG00000112137	chr6
ENSG00000112139	chr6
ENSG00000112144	chr6
ENSG00000112146	chr6
ENSG00000112149	chr6
ENSG00000112159	chr6
ENSG00000112164	chr6
ENSG00000112167	chr6
ENSG00000112175	chr6
ENSG00000112182	chr6
ENSG00000112183	chr6
ENSG00000112186	chr6
ENSG00000112195	chr6
ENSG00000112200	chr6
ENSG00000112208	chr6
ENSG00000112210	chr6
ENSG00000112214	chr6
ENSG00000112218	chr6
ENSG00000112232	chr6
ENSG00000112234	chr6
ENSG00000112237	chr6
ENSG00000112238	chr6
ENSG00000112242	chr6
ENSG00000112246	chr6
ENSG00000112249	chr6
ENSG00000112276	chr6
ENSG00000112280	chr6
ENSG00000112282	chr6
ENSG00000112290	chr6
ENSG00000112293	chr6
ENSG00000112294	chr6
ENSG00000112297	chr6
ENSG00000112299	chr6
ENSG00000112303	chr6
ENSG00000112304	chr6
ENSG00000112305	chr6
ENSG00000112306	chr6
ENSG00000112308	chr6
ENSG00000112309	chr6
ENSG00000112312	chr6
ENSG00000112319	chr6
ENSG00000112320	chr6
ENSG00000112333	chr6
ENSG00000112335	chr6
ENSG00000112337	chr6
ENSG00000112339	chr6
ENSG00000112343	chr6
ENSG00000112357	chr6
ENSG00000112365	chr6
ENSG00000112367	chr6
ENSG00000112378	chr6
ENSG00000112379	chr6
ENSG00000112394	chr6
ENSG00000112406	chr6
ENSG00000112414	chr6
ENSG00000112419	chr6
ENSG00000112425	chr6
ENSG00000112473	chr6
ENSG00000112486	chr6
ENSG00000112494	chr6
ENSG00000112499	chr6
ENSG00000112511	chr6
ENSG00000112514	chr6
ENSG00000112530	chr6
ENSG00000112531	chr6
ENSG00000112539	chr6
ENSG00000112541	chr6
ENSG00000112559	chr6
ENSG00000112561	chr6
ENSG00000112562	chr6
ENSG00000112576	chr6
ENSG00000112578	chr6
ENSG00000112584	chr6
ENSG00000112592	chr6
ENSG00000112599	chr6
ENSG00000112619	chr6
ENSG00000112624	chr6
ENSG00000112640	chr6
ENSG00000112651	chr6
ENSG00000112655	chr6
ENSG00000112658	chr6
ENSG00000112659	chr6
ENSG00000112667	chr6
ENSG00000112679	chr6
ENSG00000112685	chr6
ENSG00000112695	chr6
ENSG00000112697	chr6
ENSG00000112699	chr6
ENSG00000112701	chr6
ENSG00000112706	chr6
ENSG00000112715	chr6
ENSG00000112739	chr6
ENSG00000112742	chr6
ENSG00000112759	chr6
ENSG00000112761	chr6
ENSG00000112763	chr6
ENSG00000112769	chr6
ENSG00000112773	chr6
ENSG00000112782	chr6
ENSG00000112787	chr12
ENSG00000112796	chr6
ENSG00000112799	chr6
ENSG00000112812	chr6
ENSG00000112818	chr6
ENSG00000112837	chr6
ENSG00000112851	chr5
ENSG00000112852	chr5
ENSG00000112855	chr5
ENSG00000112874	chr5
ENSG00000112877	chr5
ENSG00000112893	chr5
ENSG00000112902	chr5
ENSG00000112936	chr5
ENSG00000112941	chr5
ENSG00000112964	chr5
ENSG00000112972	chr5
ENSG00000112977	chr5
ENSG00000112981	chr5
ENSG00000112983	chr5
ENSG00000112984	chr5
ENSG00000112992	chr5
ENSG00000112996	chr5
ENSG00000113013	chr5
ENSG00000113048	chr5
ENSG00000113068	chr5
ENSG00000113070	chr5
ENSG00000113073	chr5
ENSG00000113083	chr5
ENSG00000113088	chr5
ENSG00000113100	chr5
ENSG00000113108	chr5
ENSG00000113119	chr5
ENSG00000113140	chr5
ENSG00000113141	chr5
ENSG00000113161	chr5
ENSG00000113163	chr5
ENSG00000113194	chr5
ENSG00000113196	chr5
ENSG00000113205	chr5
ENSG00000113209	chr5
ENSG00000113211	chr5
ENSG00000113212	chr5
ENSG00000113231	chr5
ENSG00000113240	chr5
ENSG00000113248	chr5
ENSG00000113249	chr5
ENSG00000113262	chr5
ENSG00000113263	chr5
ENSG00000113269	chr5
ENSG00000113272	chr5
ENSG00000113273	chr5
ENSG00000113282	chr5
ENSG00000113296	chr5
ENSG00000113300	chr5
ENSG00000113302	chr5
ENSG00000113303	chr5
ENSG00000113312	chr5
ENSG00000113318	chr5
ENSG00000113319	chr5
ENSG00000113327	chr5
ENSG00000113328	chr5
ENSG00000113356	chr5
ENSG00000113360	chr5
ENSG00000113361	chr5
ENSG00000113368	chr5
ENSG00000113369	chr5
ENSG00000113384	chr5
ENSG00000113387	chr5
ENSG00000113389	chr5
ENSG00000113391	chr5
ENSG00000113396	chr5
ENSG00000113407	chr5
ENSG00000113430	chr5
ENSG00000113441	chr5
ENSG00000113448	chr5
ENSG00000113456	chr5
ENSG00000113460	chr5
ENSG00000113492	chr5
ENSG00000113494	chr5
ENSG00000113504	chr5
ENSG00000113520	chr5
ENSG00000113522	chr5
ENSG00000113525	chr5
ENSG00000113532	chr5
ENSG00000113552	chr5
ENSG00000113555	chr5
ENSG00000113558	chr5
ENSG00000113569	chr5
ENSG00000113575	chr5
ENSG00000113578	chr5
ENSG00000113580	chr5
ENSG00000113583	chr5
ENSG00000113593	chr5
ENSG00000113594	chr5
ENSG00000113595	chr5
ENSG00000113597	chr5
ENSG00000113600	chr5
ENSG00000113615	chr5
ENSG00000113621	chr5
ENSG00000113638	chr5
ENSG00000113643	chr5
ENSG00000113645	chr5
ENSG00000113648	chr5
ENSG00000113649	chr5
ENSG00000113657	chr5
ENSG00000113658	chr5
ENSG00000113712	chr5
ENSG00000113716	chr5
ENSG00000113719	chr5
ENSG00000113721	chr5
ENSG00000113722	chr5
ENSG00000113732	chr5
ENSG00000113734	chr5
ENSG00000113739	chr5
ENSG00000113742	chr5
ENSG00000113749	chr5
ENSG00000113758	chr5
ENSG00000113761	chr5
ENSG00000113763	chr5
ENSG00000113790	chr3
ENSG00000113805	chr3
ENSG00000113810	chr3
ENSG00000113811	chr3
ENSG00000113812	chr3
ENSG00000113838	chr3
ENSG00000113845	chr3
ENSG00000113851	chr3
ENSG00000113889	chr3
ENSG00000113905	chr3
ENSG00000113916	chr3
ENSG00000113924	chr3
ENSG00000113946	chr3
ENSG00000113966	chr3
ENSG00000113971	chr3
ENSG00000114013	chr3
ENSG00000114019	chr3
ENSG00000114021	chr3
ENSG00000114023	chr3
ENSG00000114026	chr3
ENSG00000114030	chr3
ENSG00000114054	chr3
ENSG00000114062	chr15
ENSG00000114098	chr3
ENSG00000114107	chr3
ENSG00000114113	chr3
ENSG00000114115	chr3
ENSG00000114120	chr3
ENSG00000114124	chr3
ENSG00000114125	chr3
ENSG00000114126	chr3
ENSG00000114127	chr3
ENSG00000114166	chr3
ENSG00000114200	chr3
ENSG00000114204	chr3
ENSG00000114209	chr3
ENSG00000114248	chr3
ENSG00000114251	chr3
ENSG00000114268	chr3
ENSG00000114270	chr3
ENSG00000114279	chr3
ENSG00000114302	chr3
ENSG00000114315	chr3
ENSG00000114316	chr3
ENSG00000114331	chr3
ENSG00000114346	chr3
ENSG00000114349	chr3
ENSG00000114353	chr3
ENSG00000114354	chr3
ENSG00000114374	chrY
ENSG00000114378	chr3
ENSG00000114383	chr3
ENSG00000114388	chr3
ENSG00000114391	chr3
ENSG00000114395	chr3
ENSG00000114405	chr3
ENSG00000114416	chr3
ENSG00000114423	chr3
ENSG00000114439	chr3
ENSG00000114446	chr3
ENSG00000114450	chr3
ENSG00000114455	chr3
ENSG00000114473	chr3
ENSG00000114480	chr3
ENSG00000114487	chr3
ENSG00000114491	chr3
ENSG00000114503	chr3
ENSG00000114520	chr3
ENSG00000114529	chr3
ENSG00000114541	chr3
ENSG00000114544	chr3
ENSG00000114547	chr3
ENSG00000114554	chr3
ENSG00000114573	chr3
ENSG00000114626	chr3
ENSG00000114631	chr3
ENSG00000114638	chr3
ENSG00000114646	chr3
ENSG00000114648	chr3
ENSG00000114650	chr3
ENSG00000114654	chr3
ENSG00000114656	chr3
ENSG00000114670	chr3
ENSG00000114686	chr3
ENSG00000114698	chr3
ENSG00000114735	chr3
ENSG00000114737	chr3
ENSG00000114738	chr3
ENSG00000114739	chr3
ENSG00000114742	chr3
ENSG00000114744	chr3
ENSG00000114745	chr3
ENSG00000114757	chr3
ENSG00000114767	chr3
ENSG00000114770	chr3
ENSG00000114771	chr3
ENSG00000114779	chr3
ENSG00000114784	chr3
ENSG00000114790	chr3
ENSG00000114796	chr3
ENSG00000114805	chr3
ENSG00000114812	chr3
ENSG00000114841	chr3
ENSG00000114850	chr3
ENSG00000114853	chr3
ENSG00000114854	chr3
ENSG00000114857	chr3
ENSG00000114859	chr3
ENSG00000114861	chr3
ENSG00000114867	chr3
ENSG00000114902	chr3
ENSG00000114904	chr3
ENSG00000114923	chr2
ENSG00000114933	chr2
ENSG00000114942	chr2
ENSG00000114948	chr2
ENSG00000114956	chr2
ENSG00000114978	chr2
ENSG00000114982	chr2
ENSG00000114988	chr2
ENSG00000114993	chr2
ENSG00000114999	chr2
ENSG00000115008	chr2
ENSG00000115009	chr2
ENSG00000115020	chr2
ENSG00000115041	chr2
ENSG00000115042	chr2
ENSG00000115053	chr2
ENSG00000115073	chr2
ENSG00000115084	chr2
ENSG00000115085	chr2
ENSG00000115091	chr2
ENSG00000115107	chr2
ENSG00000115109	chr2
ENSG00000115112	chr2
ENSG00000115128	chr2
ENSG00000115129	chr2
ENSG00000115137	chr2
ENSG00000115138	chr2
ENSG00000115145	chr2
ENSG00000115155	chr2
ENSG00000115159	chr2
ENSG00000115163	chr2
ENSG00000115165	chr2
ENSG00000115170	chr2
ENSG00000115183	chr2
ENSG00000115194	chr2
ENSG00000115204	chr2
ENSG00000115207	chr2
ENSG00000115211	chr2
ENSG00000115216	chr2
ENSG00000115221	chr2
ENSG00000115226	chr2
ENSG00000115232	chr2
ENSG00000115233	chr2
ENSG00000115234	chr2
ENSG00000115239	chr2
ENSG00000115241	chr2
ENSG00000115252	chr2
ENSG00000115255	chr19
ENSG00000115257	chr19
ENSG00000115263	chr2
ENSG00000115266	chr19
ENSG00000115267	chr2
ENSG00000115268	chr19
ENSG00000115271	chr2
ENSG00000115274	chr2
ENSG00000115275	chr2
ENSG00000115282	chr2
ENSG00000115286	chr19
ENSG00000115289	chr2
ENSG00000115290	chr2
ENSG00000115295	chr2
ENSG00000115297	chr2
ENSG00000115306	chr2
ENSG00000115307	chr2
ENSG00000115310	chr2
ENSG00000115317	chr2
ENSG00000115318	chr2
ENSG00000115325	chr2
ENSG00000115339	chr2
ENSG00000115350	chr2
ENSG00000115353	chr2
ENSG00000115355	chr2
ENSG00000115361	chr2
ENSG00000115363	chr2
ENSG00000115364	chr2
ENSG00000115365	chr2
ENSG00000115368	chr2
ENSG00000115380	chr2
ENSG00000115386	chr2
ENSG00000115392	chr2
ENSG00000115414	chr2
ENSG00000115415	chr2
ENSG00000115419	chr2
ENSG00000115421	chr2
ENSG00000115423	chr2
ENSG00000115425	chr2
ENSG00000115446	chr2
ENSG00000115457	chr2
ENSG00000115459	chr2
ENSG00000115461	chr2
ENSG00000115464	chr2
ENSG00000115468	chr2
ENSG00000115474	chr2
ENSG00000115484	chr2
ENSG00000115486	chr2
ENSG00000115504	chr2
ENSG00000115507	chr2
ENSG00000115514	chr2
ENSG00000115520	chr2
ENSG00000115523	chr2
ENSG00000115524	chr2
ENSG00000115525	chr2
ENSG00000115526	chr2
ENSG00000115539	chr2
ENSG00000115540	chr2
ENSG00000115541	chr2
ENSG00000115548	chr2
ENSG00000115556	chr2
ENSG00000115561	chr2
ENSG00000115568	chr2
ENSG00000115590	chr2
ENSG00000115592	chr2
ENSG00000115593	chr2
ENSG00000115594	chr2
ENSG00000115596	chr2
ENSG00000115598	chr2
ENSG00000115602	chr2
ENSG00000115604	chr2
ENSG00000115607	chr2
ENSG00000115616	chr2
ENSG00000115641	chr2
ENSG00000115648	chr2
ENSG00000115649	chr2
ENSG00000115652	chr2
ENSG00000115657	chr2
ENSG00000115661	chr2
ENSG00000115665	chr2
ENSG00000115677	chr2
ENSG00000115685	chr2
ENSG00000115687	chr2
ENSG00000115694	chr2
ENSG00000115705	chr2
ENSG00000115718	chr2
ENSG00000115738	chr2
ENSG00000115750	chr2
ENSG00000115756	chr2
ENSG00000115758	chr2
ENSG00000115760	chr2
ENSG00000115761	chr2
ENSG00000115762	chr2
ENSG00000115806	chr2
ENSG00000115808	chr2
ENSG00000115816	chr2
ENSG00000115825	chr2
ENSG00000115827	chr2
ENSG00000115828	chr2
ENSG00000115839	chr2
ENSG00000115840	chr2
ENSG00000115841	chr2
ENSG00000115844	chr2
ENSG00000115850	chr2
ENSG00000115866	chr2
ENSG00000115875	chr2
ENSG00000115884	chr2
ENSG00000115896	chr2
ENSG00000115902	chr2
ENSG00000115904	chr2
ENSG00000115919	chr2
ENSG00000115935	chr2
ENSG00000115942	chr2
ENSG00000115944	chr2
ENSG00000115946	chr2
ENSG00000115947	chr2
ENSG00000115956	chr2
ENSG00000115963	chr2
ENSG00000115966	chr2
ENSG00000115970	chr2
ENSG00000115977	chr2
ENSG00000115993	chr2
ENSG00000115998	chr2
ENSG00000116001	chr2
ENSG00000116005	chr2
ENSG00000116014	chr19
ENSG00000116016	chr2
ENSG00000116017	chr19
ENSG00000116030	chr2
ENSG00000116031	chr2
ENSG00000116032	chr19
ENSG00000116035	chr2
ENSG00000116039	chr2
ENSG00000116044	chr2
ENSG00000116062	chr2
ENSG00000116095	chr2
ENSG00000116096	chr2
ENSG00000116106	chr2
ENSG00000116117	chr2
ENSG00000116120	chr2
ENSG00000116127	chr2
ENSG00000116128	chr1
ENSG00000116132	chr1
ENSG00000116133	chr1
ENSG00000116138	chr1
ENSG00000116141	chr1
ENSG00000116147	chr1
ENSG00000116151	chr1
ENSG00000116157	chr1
ENSG00000116161	chr1
ENSG00000116171	chr1
ENSG00000116176	chr16
ENSG00000116183	chr1
ENSG00000116191	chr1
ENSG00000116194	chr1
ENSG00000116198	chr1
ENSG00000116199	chr1
ENSG00000116205	chr1
ENSG00000116209	chr1
ENSG00000116212	chr1
ENSG00000116213	chr1
ENSG00000116218	chr1
ENSG00000116221	chr1
ENSG00000116237	chr1
ENSG00000116251	chr1
ENSG00000116254	chr1
ENSG00000116260	chr1
ENSG00000116266	chr1
ENSG00000116273	chr1
ENSG00000116285	chr1
ENSG00000116288	chr1
ENSG00000116299	chr1
ENSG00000116329	chr1
ENSG00000116337	chr1
ENSG00000116350	chr1
ENSG00000116353	chr1
ENSG00000116396	chr1
ENSG00000116406	chr1
ENSG00000116455	chr1
ENSG00000116459	chr1
ENSG00000116473	chr1
ENSG00000116478	chr1
ENSG00000116489	chr1
ENSG00000116497	chr1
ENSG00000116514	chr1
ENSG00000116521	chr1
ENSG00000116525	chr1
ENSG00000116539	chr1
ENSG00000116544	chr1
ENSG00000116560	chr1
ENSG00000116574	chr1
ENSG00000116580	chr1
ENSG00000116584	chr1
ENSG00000116586	chr1
ENSG00000116604	chr1
ENSG00000116641	chr1
ENSG00000116649	chr1
ENSG00000116652	chr1
ENSG00000116661	chr1
ENSG00000116663	chr1
ENSG00000116667	chr1
ENSG00000116668	chr1
ENSG00000116670	chr1
ENSG00000116675	chr1
ENSG00000116678	chr1
ENSG00000116679	chr1
ENSG00000116685	chr1
ENSG00000116688	chr1
ENSG00000116690	chr1
ENSG00000116691	chr1
ENSG00000116698	chr1
ENSG00000116701	chr1
ENSG00000116703	chr1
ENSG00000116704	chr1
ENSG00000116711	chr1
ENSG00000116717	chr1
ENSG00000116726	chr1
ENSG00000116729	chr1
ENSG00000116731	chr1
ENSG00000116741	chr1
ENSG00000116745	chr1
ENSG00000116747	chr1
ENSG00000116748	chr1
ENSG00000116750	chr1
ENSG00000116752	chr1
ENSG00000116754	chr1
ENSG00000116761	chr1
ENSG00000116771	chr1
ENSG00000116774	chr1
ENSG00000116783	chr1
ENSG00000116785	chr1
ENSG00000116786	chr1
ENSG00000116791	chr1
ENSG00000116793	chr1
ENSG00000116809	chr1
ENSG00000116815	chr1
ENSG00000116819	chr1
ENSG00000116824	chr1
ENSG00000116830	chr1
ENSG00000116833	chr1
ENSG00000116852	chr1
ENSG00000116857	chr1
ENSG00000116863	chr1
ENSG00000116871	chr1
ENSG00000116874	chr1
ENSG00000116882	chr1
ENSG00000116885	chr1
ENSG00000116898	chr1
ENSG00000116903	chr1
ENSG00000116906	chr1
ENSG00000116918	chr1
ENSG00000116922	chr1
ENSG00000116954	chr1
ENSG00000116962	chr1
ENSG00000116977	chr1
ENSG00000116981	chr1
ENSG00000116983	chr1
ENSG00000116984	chr1
ENSG00000116985	chr1
ENSG00000116990	chr1
ENSG00000116991	chr1
ENSG00000117000	chr1
ENSG00000117009	chr1
ENSG00000117010	chr1
ENSG00000117013	chr1
ENSG00000117016	chr1
ENSG00000117020	chr1
ENSG00000117036	chr1
ENSG00000117054	chr1
ENSG00000117069	chr1
ENSG00000117090	chr1
ENSG00000117091	chr1
ENSG00000117114	chr1
ENSG00000117115	chr1
ENSG00000117118	chr1
ENSG00000117122	chr1
ENSG00000117133	chr1
ENSG00000117139	chr1
ENSG00000117143	chr1
ENSG00000117148	chr1
ENSG00000117151	chr1
ENSG00000117152	chr1
ENSG00000117153	chr1
ENSG00000117154	chr1
ENSG00000117155	chr1
ENSG00000117174	chr1
ENSG00000117215	chr1
ENSG00000117222	chr1
ENSG00000117226	chr1
ENSG00000117228	chr1
ENSG00000117242	chr1
ENSG00000117245	chr1
ENSG00000117262	chr1
ENSG00000117266	chr1
ENSG00000117280	chr1
ENSG00000117281	chr1
ENSG00000117298	chr1
ENSG00000117305	chr1
ENSG00000117308	chr1
ENSG00000117318	chr1
ENSG00000117322	chr1
ENSG00000117335	chr1
ENSG00000117360	chr1
ENSG00000117362	chr1
ENSG00000117385	chr1
ENSG00000117394	chr1
ENSG00000117395	chr1
ENSG00000117399	chr1
ENSG00000117400	chr1
ENSG00000117407	chr1
ENSG00000117408	chr1
ENSG00000117410	chr1
ENSG00000117411	chr1
ENSG00000117419	chr1
ENSG00000117425	chr1
ENSG00000117448	chr1
ENSG00000117450	chr1
ENSG00000117461	chr1
ENSG00000117472	chr1
ENSG00000117475	chr1
ENSG00000117477	chr1
ENSG00000117479	chr1
ENSG00000117480	chr1
ENSG00000117481	chr1
ENSG00000117500	chr1
ENSG00000117505	chr1
ENSG00000117519	chr1
ENSG00000117523	chr1
ENSG00000117525	chr1
ENSG00000117528	chr1
ENSG00000117533	chr1
ENSG00000117543	chr1
ENSG00000117560	chr1
ENSG00000117569	chr1
ENSG00000117586	chr1
ENSG00000117592	chr1
ENSG00000117593	chr1
ENSG00000117594	chr1
