gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	meanrank	samples_signif
ENSG00000116260	QSOX1	4216	3353	4336	2568	3695	3360	2261	1952	2632	3152.555556	9
ENSG00000116266	STXBP3		5764	6263	5253	2213	4439		2574	2804	4187.142857	7
ENSG00000116288	PARK7	1120	1127	766	2593	845	857	1184	2310	1229	1336.777778	9
ENSG00000116299	KIAA1324	1049	1055	1094	1460	1960	448	325	1408	1722	1169	9
ENSG00000116337	AMPD2	1618	2216	1195	1457	1163	1465	1201	1278	1219	1423.555556	9
ENSG00000116350	SRSF4	4830	5923		4742			3008		3051	4310.8	5
ENSG00000116353	MECR			6337	4539						5438	2
ENSG00000116396	KCNC4	1786	2249	1876	2256	1771	2401	2150	663	1470	1846.888889	9
ENSG00000116406	EDEM3			5617							5617	1
ENSG00000116455	WDR77			6021	5920						5970.5	2
ENSG00000116459	ATP5PB	1604	2908	1389	2525	1890	1596	3403	2686	1932	2214.777778	9
ENSG00000116473	RAP1A	4971			5030	2057	3234			2853	3629	5
ENSG00000116478	HDAC1		4059	3370	3408						3612.333333	3
ENSG00000116489	CAPZA1	5147	4457	5991	2921	3347	4858	3829	1707	3226	3942.555556	9
ENSG00000116497	S100PBP		2217	4378	4460		3373	3222		4758	3734.666667	6
ENSG00000116514	RNF19B			6048	5847						5947.5	2
ENSG00000116521	SCAMP3	4568	5490	5490		4015	3724		2627	3412	4189.428571	7
ENSG00000116539	ASH1L	4932	4398	5626	5665		4018				4927.8	5
ENSG00000116560	SFPQ	3069	2937	3532	3516	3334	2428	3819	2540	4904	3342.111111	9
ENSG00000116574	RHOU	4975		5185		671				397	2807	4
ENSG00000116584	ARHGEF2									1580	1580	1
ENSG00000116586	LAMTOR2	2343	3556	3339	5278	3132	3375	3147		1974	3268	8
ENSG00000116604	MEF2D	2460	5137	4432	5277	2640	4734		1946	2027	3581.625	8
ENSG00000116641	DOCK7	4133		6264	4530					4142	4767.25	4
ENSG00000116649	SRM	2378	1985	1830	2916	2056	1797	2198		1652	2101.5	8
ENSG00000116661	FBXO2	691	975	983	911	1121	659	596	759	862	839.6666667	9
ENSG00000116667	C1orf21	4221	2607	3980	2429		4754			3271	3543.666667	6
ENSG00000116670	MAD2L2			6350	4347						5348.5	2
ENSG00000116675	DNAJC6	380	242	408	314	564	934	1020	396	871	569.8888889	9
ENSG00000116678	LEPR	2436	2698	3171	3594						2974.75	4
ENSG00000116679	IVNS1ABP								834	4225	2529.5	2
ENSG00000116685	KIAA2013	4215	4473	6543	3983					4828	4808.4	5
ENSG00000116688	MFN2	4253	3180	2455	3343	3445	4156			3353	3455	7
ENSG00000116690	PRG4	121		57							89	2
ENSG00000116698	SMG7			6245							6245	1
ENSG00000116717	GADD45A		5831	5356	4071	1148		3140			3909.2	5
ENSG00000116729	WLS	1394	472	1712	340	1448	3065	2133	1118	1290	1441.333333	9
ENSG00000116741	RGS2	2194	943	3069	614	1352	2429	1254	1546	1741	1682.444444	9
ENSG00000116747	RO60			6385							6385	1
ENSG00000116750	UCHL5	5300	3302	5070	4325	3058	3412			3266	3961.857143	7
ENSG00000116752	BCAS2	2172	1709	1978	2317	1679	2127	1655	1392	1644	1852.555556	9
ENSG00000116754	SRSF11	5107	1977	3913	2516	2923	3308	2249	2698	3429	3124.444444	9
ENSG00000116774	OLFML3			4083							4083	1
ENSG00000116786	PLEKHM2	4498	5770	5368			4633	3720		4385	4729	6
ENSG00000116791	CRYZ	3774		5172	5655		3452				4513.25	4
ENSG00000116793	PHTF1		4053	4192	4440			2447		4215	3869.4	5
ENSG00000116833	NR5A2		536								536	1
ENSG00000116852	KIF21B				3871					2544	3207.5	2
ENSG00000116857	TMEM9	942	1523	1067	1360	1487	911	1847	815	799	1194.555556	9
ENSG00000116871	MAP7D1	4270	2248	4455	3332	2024	2562		3280	1962	3016.625	8
ENSG00000116885	OSCP1	2059	4396	2321	4707						3370.75	4
ENSG00000116898	MRPS15	2671	3100	2753	3753	3106	3338	2504	2761	4004	3110	9
ENSG00000116906	GNPAT	5538		4045	5578		4240	2998			4479.8	5
ENSG00000116918	TSNAX	3013	3283	2057	3353	3390	3991	2565	2656	2364	2963.555556	9
ENSG00000116954	RRAGC			6709			4253	2958		4867	4696.75	4
ENSG00000116977	LGALS8	5364	5530	4700	6011	3912	4192			3069	4682.571429	7
ENSG00000116983	HPCAL4	574	370	521	408	453	702	172	515	324	448.7777778	9
ENSG00000116991	SIPA1L2		3177	3433	3890	3407					3476.75	4
ENSG00000117016	RIMS3	1619	2052	1575	1510	1567	2939	2351	780	1073	1718.444444	9
ENSG00000117020	AKT3	3152	4805	3443	4665	2362	2395	3411	2125	3454	3312.444444	9
ENSG00000117054	ACADM	4603	3354	4579	4225	3929	3583	1004	1970	4970	3579.666667	9
ENSG00000117114	ADGRL2	499	1022	342	570			3630		1573	1272.666667	6
ENSG00000117115	PADI2	572	625	561	398	235	317			347	436.4285714	7
ENSG00000117118	SDHB	2843	2629	3114	3924	2785	4755			4829	3554.142857	7
ENSG00000117133	RPF1	4848	3919	3410	6122						4574.75	4
ENSG00000117143	UAP1		4018	4424		2074		3176			3423	4
ENSG00000117152	RGS4	646	419	773	547	484	1450	1653	808	1545	925	9
ENSG00000117153	KLHL12	4499	3379	3415	3572	3341	1929	2205		3372	3214	8
ENSG00000117154	IGSF21			3533	1556			2140		3729	2739.5	4
ENSG00000117155	SSX2IP	3796	5685	4859	4514			3889	733	3449	3846.428571	7
ENSG00000117266	CDK18	2154		1939	1979		534			551	1431.4	5
ENSG00000117298	ECE1	5148		3552	3223						3974.333333	3
ENSG00000117318	ID3	1218	364	1143	565	762	1379				905.1666667	6
ENSG00000117335	CD46	2537	1192	2161	1315	3561	1330	1217	2757	3529	2177.666667	9
ENSG00000117362	APH1A	5006	4388	5944	4719						5014.25	4
ENSG00000117394	SLC2A1	5579	3381	5000	4213	1901	1563		2342	2458	3304.625	8
ENSG00000117395	EBNA1BP2	2081	2299	1831	3394	2316	1448	1445	1490	1869	2019.222222	9
ENSG00000117408	IPO13			6669	5740		3904	3579		1676	4313.6	5
ENSG00000117410	ATP6V0B	481	414	687	551	835	523	499	647	696	592.5555556	9
ENSG00000117411	B4GALT2	4470	5207	4542	5960			3025		4536	4623.333333	6
ENSG00000117419	ERI3	1798	2794	2273	3329	2799	2599	2639		1492	2465.375	8
ENSG00000117448	AKR1A1	4993	5349	5948		3878	4180			3831	4696.5	6
ENSG00000117450	PRDX1	2239	1849	3555	2070	1115	1066	412	213	1311	1536.666667	9
ENSG00000117477	CCDC181	3505	3789	3580	3759	3071	2964	3427			3442.142857	7
ENSG00000117480	FAAH				5454					4307	4880.5	2
ENSG00000117500	TMED5	5059	3377	6808	2873	2685	4978	3207		4589	4197	8
ENSG00000117505	DR1	3647	4227	6860	5267	3539	2762			4973	4467.857143	7
ENSG00000117519	CNN3	2185	685	2883	589	579	2716	2591	1968	2986	1909.111111	9
ENSG00000117523	PRRC2C	5576		5484	5824		4524		2668	3863	4656.5	6
ENSG00000117525	F3	2897	1091	1752	573	158	2444		1809	3131	1731.875	8
ENSG00000117528	ABCD3	5153	5375	4586	3291				2965		4274	5
ENSG00000117533	VAMP4	5005	5222	6529	4282	3475	4431			3829	4681.857143	7
ENSG00000117543	DPH5			6364							6364	1
ENSG00000117569	PTBP2	3171	2289	3734	3116	2761	2147	2708		4015	2992.625	8
ENSG00000117592	PRDX6	1459	1079	1474	841	1325	2045	1398	899	1775	1366.111111	9
ENSG00000117598	PLPPR5		1282		1735					2135	1717.333333	3
ENSG00000117600	PLPPR4	362	579	611	1074	659	634	1287	417	863	720.6666667	9
ENSG00000117602	RCAN3		3953	5696	2495		2396	1899			3287.8	5
ENSG00000117614	SYF2	5610	3806	6605	4900	3194	4656	3827		4349	4618.375	8
ENSG00000117616	RSRP1	4260	4037	3780	2027		3043	1191	3177	4123	3204.75	8
ENSG00000117625	RCOR3	5027	3513	4197	3671		4068				4095.2	5
ENSG00000117632	STMN1	1428	265	1367	234	247	287	300	208	623	551	9
ENSG00000117640	MTFR1L	3413	4363	4117	5674		4165		3141	3724	4085.285714	7
ENSG00000117643	MAN1C1			4387							4387	1
ENSG00000117691	NENF	1616	908	2570	1415	1472	695	145	830	880	1170.111111	9
ENSG00000117697	NSL1		5697		5610		4934			4500	5185.25	4
ENSG00000117713	ARID1A	3812	5215	4884	5418		4817			4456	4767	6
ENSG00000117748	RPA2	2939	4105	2067	6047		4782	2715	2653	2673	3497.625	8
ENSG00000117751	PPP1R8		5700	6636							6168	2
ENSG00000117758	STX12	4234	4200	4369	4060	4007	4720			3881	4210.142857	7
ENSG00000117859	OSBPL9	5554		6103							5828.5	2
ENSG00000117862	TXNDC12	4156	3415	4149	4043	3319	3303	2033		4377	3599.375	8
ENSG00000117868	ESYT2	2916	3085	3844	3058	2655	3141	2005	3220	2087	2890.111111	9
ENSG00000117899	MESD	3515	1723	3841	1843	2913	2063	913	2282	3294	2487.444444	9
ENSG00000117906	RCN2	430	384	449	411	709	475	775	341	403	486.3333333	9
ENSG00000117984	CTSD	1997	1759	2033	3215	1885	613		662	1302	1683.25	8
ENSG00000118007	STAG1			5615							5615	1
ENSG00000118046	STK11	5181		5807							5494	2
ENSG00000118058	KMT2A	4323	4041	4113	4422	3556	3979		2109	4406	3868.625	8
ENSG00000118096	IFT46	2952	3858	4003	5499			2981		3621	3819	6
ENSG00000118160	SLC8A2	1303	2772	1466	1642	1045	1300	1816	1499	733	1508.444444	9
ENSG00000118181	RPS25	1086	446	1789	676	483	668	241	415	758	729.1111111	9
ENSG00000118200	CAMSAP2	2079	2424	4157	2767	1970	2644	2342	2726	2746	2650.555556	9
ENSG00000118217	ATF6	4187	5818	6485							5496.666667	3
ENSG00000118246	FASTKD2			6824							6824	1
ENSG00000118257	NRP2	3074	1491	1605	1216	2460	1732	2516	441	1293	1758.666667	9
ENSG00000118263	KLF7			6613		3226					4919.5	2
ENSG00000118271	TTR	40	341	40	507	16	74	9	22		131.125	8
ENSG00000118276	B4GALT6	1663	2697	1222	2371	1544	3080		1957	1972	2063.25	8
ENSG00000118292	C1orf54			6556							6556	1
ENSG00000118363	SPCS2	3132	1932	2550	2414	2964	3705	1222	814	2613	2371.777778	9
ENSG00000118402	ELOVL4	944	1171	1811	1274	1569	2239	2655		1002	1583.125	8
ENSG00000118418	HMGN3	1553	1767	1638	1554		2353	1351	2051	3851	2014.75	8
ENSG00000118432	CNR1	384	520	487	546	874	1154	756	363	1552	737.3333333	9
ENSG00000118454	ANKRD13C				5423						5423	1
ENSG00000118473	SGIP1	2730	2046	3358	2678	1651	2940		2199	2049	2456.375	8
ENSG00000118482	PHF3		5634			3329	4712			4163	4459.5	4
ENSG00000118507	AKAP7	4888	4373	5467			4932				4915	4
ENSG00000118515	SGK1			5700		2259					3979.5	2
ENSG00000118518	RNF146	4309	4228	5525		3809	4325			3869	4344.166667	6
ENSG00000118523	CCN2	1586	633	1289	591	2743					1368.4	5
ENSG00000118564	FBXL5	2682	2674	3021	4886		3762	3442	1813	3699	3247.375	8
ENSG00000118579	MED28	4942	4704	5505	4523		3938	3824	3175		4373	7
ENSG00000118600	RXYLT1		5515	6377							5946	2
ENSG00000118680	MYL12B	626	1231	788	1414	1376	928	712	1406	775	1028.444444	9
ENSG00000118689	FOXO3	5660	4834	6803	4138			3295			4946	5
ENSG00000118702	GHRH	29	4	70	13	21	18	2	5	139	33.44444444	9
ENSG00000118705	RPN2	1845	1379	1697	2109	3396	3755		1922	2756	2357.375	8
ENSG00000118733	OLFM3		859	2437	878		1285	572	1649		1280	6
ENSG00000118777	ABCG2	3677	2939	3364	3299		787				2813.2	5
ENSG00000118785	SPP1	185	141	152	114	90	43	56	198	87	118.4444444	9
ENSG00000118816	CCNI	3170	1615	2850	2291	3225	1495	2144		2638	2428.5	8
ENSG00000118855	MFSD1	2783	2987	2696	2943		4615			4672	3449.333333	6
ENSG00000118873	RAB3GAP2	4201	3890	3745	5694	3382	4251	3480	1780	2540	3662.555556	9
ENSG00000118894	EEF2KMT			5300							5300	1
ENSG00000118939	UCHL3		3252		4693						3972.5	2
ENSG00000118946	PCDH17	813	492	482	519	802	599	1376	262	417	640.2222222	9
ENSG00000118965	WDR35			4399	4261						4330	2
ENSG00000118971	CCND2	1606	1045	1189	577	2977					1478.8	5
ENSG00000118985	ELL2	4728	1299	5097	806	1069	374	532	2213	3015	2125.888889	9
ENSG00000118997	DNAH7			1651							1651	1
ENSG00000119013	NDUFB3	963	1373	1186	2386	1653	1307	852	1124	1263	1345.222222	9
ENSG00000119048	UBE2B	1262	1354	838	1898	1561	821	715	1478	1763	1298.888889	9
ENSG00000119125	GDA	305	553	577	605	296	430	271	339	386	418	9
ENSG00000119138	KLF9					1735					1735	1
ENSG00000119139	TJP2	650	426	516	802	1009	563			436	628.8571429	7
ENSG00000119147	ECRG4	412	160	192	106			949			363.8	5
ENSG00000119185	ITGB1BP1	3164	4327	4914	5226	3217	2755			2026	3661.285714	7
ENSG00000119227	PIGZ		4893	3363	6203			3758		2510	4145.4	5
ENSG00000119231	SENP5	3670	3245	4379	4368		3980			4836	4079.666667	6
ENSG00000119242	CCDC92	1649	1652	1711	1757	982	1636	1209	1519	1127	1471.333333	9
ENSG00000119280	C1orf198	3818		4763	1611	674	1669	3210		753	2356.857143	7
ENSG00000119314	PTBP3	3470	2795	4349	3585		3056	2905			3360	6
ENSG00000119318	RAD23B	2654	2058	2635	2254	1879	1808	2223	2373	2103	2220.777778	9
ENSG00000119333	WDR34	3228	5789	3498	4958						4368.25	4
ENSG00000119335	SET	3883	2031	4307	2908	2407	1615		1765	2117	2629.125	8
ENSG00000119383	PTPA	3401	2985	2596	4221	2060	3439	2206	2809	2757	2941.555556	9
ENSG00000119396	RAB14	2363	2162	2949	2800	3508	2064	2185	1290	2561	2431.333333	9
ENSG00000119402	FBXW2	4183		3689	5059					3926	4214.25	4
ENSG00000119414	PPP6C	4943	5763	6309	4551		4159		3097		4803.666667	6
ENSG00000119421	NDUFA8	1245	2267	1077	2974	1483	1861	3520		1208	1954.375	8
ENSG00000119431	HDHD3									4302	4302	1
ENSG00000119446	RBM18	4332	3194	4783	4374		4457			3522	4110.333333	6
ENSG00000119471	HSDL2	5647	4519		4944	3973				4504	4717.4	5
ENSG00000119487	MAPKAP1	3761	5579	6562							5300.666667	3
ENSG00000119523	ALG2	5166	4865	5980	4455						5116.5	4
ENSG00000119537	KDSR	5568		6883		2691	4138	3564	2311	4444	4228.428571	7
ENSG00000119541	VPS4B	2155	1372	3281	3114		1496	701	2279	4186	2323	8
ENSG00000119559	C19orf25	5488	4071	5355	5922			2582			4683.6	5
ENSG00000119596	YLPM1	4626	4978	6321	4785			3290	2535	3690	4317.857143	7
ENSG00000119616	FCF1			6985							6985	1
ENSG00000119630	PGF			3290	3986		217				2497.666667	3
ENSG00000119632	IFI27L2	2124	2472	3626	3017	2038	2993	2566	2421	1956	2579.222222	9
ENSG00000119636	BBOF1			3349							3349	1
ENSG00000119638	NEK9	5169	3891	3257	3771		3774	3802			3944	6
ENSG00000119640	ACYP1	905	2385	1172	1750	3262	1126	3452	1632	3663	2149.666667	9
ENSG00000119650	IFT43	3395	2687	3315	4553						3487.5	4
ENSG00000119655	NPC2	986	296	1090	297	1685	1923	2916	1342	2493	1447.555556	9
ENSG00000119661	DNAL1	4055	5803	4036			4281	2849	3098		4020.333333	6
ENSG00000119669	IRF2BPL	2319	2433	2660	3064	2257	1509	1500	3198	2082	2335.777778	9
ENSG00000119681	LTBP2			470							470	1
ENSG00000119688	ABCD4			6462							6462	1
ENSG00000119698	PPP4R4		4046		2744					1723	2837.666667	3
ENSG00000119699	TGFB3					2110					2110	1
ENSG00000119705	SLIRP	527	503	764	890	1431	540	247	689	943	726	9
ENSG00000119707	RBM25	4447	3702	4948			4212	3814			4224.6	5
ENSG00000119711	ALDH6A1	4959	3461	5494	3263	2842	4062	3108	2711	2857	3639.666667	9
ENSG00000119729	RHOQ	4686	4713	5434	2710	3603	3538	3003	3046	3864	3844.111111	9
ENSG00000119760	SUPT7L	4093	2360	3829	3431		2058	1963		2578	2901.714286	7
ENSG00000119777	TMEM214			3894	4781		4311				4328.666667	3
ENSG00000119782	FKBP1B	882	1435	1422	971	1249	2095	1150		1637	1355.125	8
ENSG00000119787	ATL2	4412		3368							3890	2
ENSG00000119801	YPEL5	1759	1092	1794	1305	1303	1605	1499	3181	1685	1691.444444	9
ENSG00000119820	YIPF4	3991	3825	3732	2699	3984	4859	3787	2793	3366	3670.666667	9
ENSG00000119844	AFTPH	5049	5148	3874	5618		3736			3889	4552.333333	6
ENSG00000119862	LGALSL				4891						4891	1
ENSG00000119865	CNRIP1	1678	1583	1669	1134	1272	1951	2580	1308	646	1535.666667	9
ENSG00000119866	BCL11A									919	919	1
ENSG00000119878	CRIPT	4095	5908	6022	5003	3469	4688	3740			4703.571429	7
ENSG00000119888	EPCAM	983	820	1157	1266	994	1072	1371	2192	1101	1217.333333	9
ENSG00000119899	SLC17A5	3092	4631	4720	3560		3076	1565			3440.666667	6
ENSG00000119900	OGFRL1	883	1338	938	1209	904	609	1266	986	1262	1043.888889	9
ENSG00000119906	SLF2	3073	3256	1280	1697		2188	1872			2227.666667	6
ENSG00000119917	IFIT3	4571		3524		811	3045	591			2508.4	5
ENSG00000119922	IFIT2					1585					1585	1
ENSG00000119938	PPP1R3C			5247							5247	1
ENSG00000119946	CNNM1		2890	2449	2747			3679			2941.25	4
ENSG00000119950	MXI1	4325	4883	3737	3085	2742	2614			3726	3587.428571	7
ENSG00000119973	PRLHR	1819	460	2289	334		2981				1576.6	5
ENSG00000119977	TCTN3	3512	3205	2401	1819						2734.25	4
ENSG00000119979	DENND10	5668	5229	6600			3972	3668			5027.4	5
ENSG00000120008	WDR11			6319	4666						5492.5	2
ENSG00000120049	KCNIP2			3356	2737				295		2129.333333	3
ENSG00000120053	GOT1	308	490	340	537	548	1215	1435	521	649	671.4444444	9
ENSG00000120063	GNA13	5314		6102						4124	5180	3
ENSG00000120071	KANSL1		5300								5300	1
ENSG00000120129	DUSP1	372	1004	232	1033	1927	354	1877		2090	1111.125	8
ENSG00000120137	PANK3	5526	5834		4615					4298	5068.25	4
ENSG00000120162	MOB3B									1143	1143	1
ENSG00000120251	GRIA2	404	270	400	277	341	339	599	276	283	354.3333333	9
ENSG00000120256	LRP11	1605	1879	2371	1633	1725	2338	3883	2425	1856	2190.555556	9
ENSG00000120262	CCDC170			1123							1123	1
ENSG00000120265	PCMT1	658	609	708	564	834	582	751	738	689	681.4444444	9
ENSG00000120306	CYSTM1	1081	716	1528	934	1312	1197	1540	1914	1955	1353	9
ENSG00000120333	MRPS14		4613	5614	6052						5426.333333	3
ENSG00000120437	ACAT2	3736	3192	4261	3469	2444	4701			2882	3526.428571	7
ENSG00000120438	TCP1	1285	1837	2078	1780	1271	1359	2475	1041	1275	1600.111111	9
ENSG00000120451	SNX19	5356	3921	6460				2775			4628	4
ENSG00000120509	PDZD11	3056	3087	3297	5198	2536	2685	2228	2827	2965	3097.666667	9
ENSG00000120533	ENY2	2461	2512	3391	3731	2578	1686	2666	1907	2654	2620.666667	9
ENSG00000120594	PLXDC2	5570	5657	5684	3974					4764	5129.8	5
ENSG00000120645	IQSEC3		2620	2709	3399				1584	1960	2454.4	5
ENSG00000120675	DNAJC15		4052	5903	4771	2830	3208	3362		4567	4099	7
ENSG00000120686	UFM1	3385	3164	5581	3799	3614	3542	1537	3077	3460	3462.111111	9
ENSG00000120688	WBP4	5588	5110	5857	6045	3842	4877			4458	5111	7
ENSG00000120694	HSPH1	346	303	329	318	47	340	252	666	338	326.5555556	9
ENSG00000120696	KBTBD7		5291		6026		3931				5082.666667	3
ENSG00000120697	ALG5	4796	5041	5920	5735			3046			4907.6	5
ENSG00000120705	ETF1	3309	3850	3277		3770	2979	3540		3874	3514.142857	7
ENSG00000120709	FAM53C	5192	5624	4331	5435	3708	3371				4610.166667	6
ENSG00000120725	SIL1			5232							5232	1
ENSG00000120727	PAIP2	2694	1582	2139	1178	1504	1497	621	1119	1968	1589.111111	9
ENSG00000120733	KDM3B	5186		5693							5439.5	2
ENSG00000120738	EGR1	296		162		116	1436				502.5	4
ENSG00000120742	SERP1	3011	2612	4456	3962	1315	4133			4959	3492.571429	7
ENSG00000120805	ARL1	2430	2151	1949	3004	2545	1893	3073	2024	2059	2347.555556	9
ENSG00000120832	MTERF2				5252						5252	1
ENSG00000120860	WASHC3	2870	2444	2948	2980	3259	1616	753	2512	3548	2547.777778	9
ENSG00000120885	CLU	227	48	199	28	193	72	55	66	174	118	9
ENSG00000120896	SORBS3			5496							5496	1
ENSG00000120899	PTK2B		2544		2405	1041			288	1006	1456.8	5
ENSG00000120913	PDLIM2	3769	3065	3639	5118			2873			3692.8	5
ENSG00000120925	RNF170	5602	4969	5130						4535	5059	4
ENSG00000120948	TARDBP	4472	5175	4230	5451	3280	4533		2727	4350	4277.25	8
ENSG00000120963	ZNF706	5497	4454	6919	5336	4001		3644		4961	4973.142857	7
ENSG00000120992	LYPLA1	5098	5533	6383	4300						5328.5	4
ENSG00000121022	COPS5	3676	3518	4253	3270	3667	1444	1954	2091	3398	3030.111111	9
ENSG00000121039	RDH10	396	181	194	123	1900					558.8	5
ENSG00000121057	AKAP1		3006	5572	3783						4120.333333	3
ENSG00000121064	SCPEP1	2198	2614	1682	1798	2176	3245	2290	1775	3178	2328.444444	9
ENSG00000121067	SPOP	5455	4915	4114	4644	3509	4490	2515		4498	4267.5	8
ENSG00000121068	TBX2				181						181	1
ENSG00000121073	SLC35B1	2813	2809	4173	2347	3425	1925	2613	2093	2961	2795.444444	9
ENSG00000121207	LRAT									300	300	1
ENSG00000121274	TENT4B		4430		4443	2663		3374			3727.5	4
ENSG00000121310	ECHDC2	2786	3760	2382	4310						3309.5	4
ENSG00000121350	PYROXD1		4790								4790	1
ENSG00000121390	PSPC1	4244	3987	4052	4086		3711	3076		3139	3756.428571	7
ENSG00000121410	A1BG	4168	5615	5126	5001						4977.5	4
ENSG00000121413	ZSCAN18	775	961	881	1364	1103	953	978	710	1107	981.3333333	9
ENSG00000121481	RNF2				4939						4939	1
ENSG00000121579	NAA50			5660	4805	3041	4397	3301		4562	4294.333333	6
ENSG00000121653	MAPK8IP1	5214	2228	5081	3838	2470	3388	2512		2526	3407.125	8
ENSG00000121671	CRY2	4725	5790	3805		3662			2044	3541	3927.833333	6
ENSG00000121680	PEX16		5368	6926	5131						5808.333333	3
ENSG00000121691	CAT	3361		5761	1079						3400.333333	3
ENSG00000121716	PILRB		4744	4551	5197						4830.666667	3
ENSG00000121741	ZMYM2	3503	3785	4918	4375		4716	1986	3006	4662	3868.875	8
ENSG00000121742	GJB6	800		591		1218	2421		1695	2199	1487.333333	6
ENSG00000121749	TBC1D15			5604	5235						5419.5	2
ENSG00000121753	ADGRB2	1292	2039	1002	999	1919	1717	557	697	1915	1348.555556	9
ENSG00000121766	ZCCHC17	3100	3163	4840	3200		3174	3367	1511	2067	3052.75	8
ENSG00000121769	FABP3	1463	2790	2985	3703			1566		1566	2345.5	6
ENSG00000121774	KHDRBS1	2887	2648	2945	3679	1813	2834	2316	1937	2297	2595.111111	9
ENSG00000121851	POLR3GL			6519							6519	1
ENSG00000121864	ZNF639			6478							6478	1
ENSG00000121879	PIK3CA			6234							6234	1
ENSG00000121892	PDS5A	5637	5149	6224	5976		4244	3816		3909	4993.571429	7
ENSG00000121900	TMEM54	2446	2277	3129	2021						2468.25	4
ENSG00000121905	HPCA		2647		1567		2056		25	933	1445.6	5
ENSG00000121931	LRIF1		5517	5924	5194		3458				5023.25	4
ENSG00000121940	CLCC1	5069	5436	5942	5447			2830			4944.8	5
ENSG00000121957	GPSM2			6666						4792	5729	2
ENSG00000121966	CXCR4						1560				1560	1
ENSG00000121989	ACVR2A		3349	6466	3944						4586.333333	3
ENSG00000122012	SV2C	910	673	1251	681	524	497	165	632	56	598.7777778	9
ENSG00000122026	RPL21	1227	705	1321	675	727	325	1451	1013	465	878.7777778	9
ENSG00000122033	MTIF3	5380		5400		3527	3930			4461	4539.6	5
ENSG00000122034	GTF3A	4745	3217		5861	2632	4550	3005			4001.666667	6
ENSG00000122042	UBL3	2886	3339	2573	2512	1222	2041	1284	2549	2427	2314.777778	9
ENSG00000122068	FYTTD1	5443	5209	4361	4121	3993	2866	2445	2323	3821	3842.444444	9
ENSG00000122085	MTERF4			6982	6136						6559	2
ENSG00000122126	OCRL	1456	1714	1345	1267	1132	1664	1168	1321	533	1288.888889	9
ENSG00000122140	MRPS2	4195	5227	5866	5744					4018	5010	5
ENSG00000122203	KIAA1191	2598	2443	2956	2705	1291	2419	2283	2212	1521	2269.777778	9
ENSG00000122218	COPA	2977	2099	3191	3503	3199	1949	1611	2166	3007	2633.555556	9
ENSG00000122257	RBBP6	5451	5716	6223		2762					5038	4
ENSG00000122299	ZC3H7A			6508	6158						6333	2
ENSG00000122359	ANXA11	4509		3367							3938	2
ENSG00000122378	PRXL2A	2132	2310	1857	5538	1094	2669			1203	2400.428571	7
ENSG00000122390	NAA60	5123		5681							5402	2
ENSG00000122406	RPL5	1302	622	1933	667	575	673	485	888	1097	915.7777778	9
ENSG00000122417	ODF2L	3210	4789	3573	4492	3296	4324			3426	3872.857143	7
ENSG00000122420	PTGFR				1500						1500	1
ENSG00000122482	ZNF644			6961							6961	1
ENSG00000122490	SLC66A2	3437	4816	3453	4258		3453	2716			3688.833333	6
ENSG00000122512	PMS2	4750	5473	5122	5561					3396	4860.4	5
ENSG00000122515	ZMIZ2			6638							6638	1
ENSG00000122545	SEPTIN7	3814	3600	4826	4778	978	1508		2557	1140	2900.125	8
ENSG00000122550	KLHL7	3063	4126	4130	4260	3605	3890			2981	3722.142857	7
ENSG00000122565	CBX3	3326	2053	3847	2750	2529	2514	776	2041	2688	2502.666667	9
ENSG00000122566	HNRNPA2B1	2441	1307	2209	2030	772	1510	2728	1736	1553	1809.555556	9
ENSG00000122574	WIPF3	3172	4308	2998	2669		1698	1706			2758.5	6
ENSG00000122584	NXPH1	1579	728	1328	757		1375	1262	846	1095	1121.25	8
ENSG00000122585	NPY	30	23	26	48	79	80	24	81	505	99.55555556	9
ENSG00000122591	FAM126A		1840		1541			826			1402.333333	3
ENSG00000122641	INHBA					1321	68	49			479.3333333	3
ENSG00000122642	FKBP9	2178	3404	1869	3042	2053	1179	3146	793	2048	2190.222222	9
ENSG00000122643	NT5C3A		5034	5362	5675						5357	3
ENSG00000122674	CCZ1	4351	4045	5075	4511		3651	3164			4132.833333	6
ENSG00000122679	RAMP3	2298	481	1896	706						1345.25	4
ENSG00000122692	SMU1	4799	5844	6304	5764	3067	4300				5013	6
ENSG00000122705	CLTA	2364	1713	3089	2532	1731	2522		1219	1520	2086.25	8
ENSG00000122729	ACO1	4117		5379	4636						4710.666667	3
ENSG00000122733	PHF24				1649			1834		1742	1741.666667	3
ENSG00000122741	DCAF10			6635							6635	1
ENSG00000122756	CNTFR	2187	3852	2865	4427					3554	3377	5
ENSG00000122779	TRIM24		5001		6014						5507.5	2
ENSG00000122786	CALD1	3822	1047	3096	1660	2055	3634				2552.333333	6
ENSG00000122824	NUDT10	2014	2185		1981	1512	2376	2557		2408	2147.571429	7
ENSG00000122862	SRGN	3051	2875	2435		1026	440				1965.4	5
ENSG00000122873	CISD1	622	592	759	728	1318	1056	1099	742	607	835.8888889	9
ENSG00000122884	P4HA1			3834							3834	1
ENSG00000122958	VPS26A		4939	6941					3240	4640	4940	4
ENSG00000122966	CIT	3607	3462	2923	3311	3882	4436			2681	3471.714286	7
