input_number	input	input_ensg	ensg_number	ortholog_name	ortholog_ensg	description
4887	Cdyl	ENSMUSG00000059288	4887.1.1	CDYL	ENSG00000153046	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]
4888	Cdyl2	ENSMUSG00000031758	4888.1.1	CDYL2	ENSG00000166446	chromodomain Y like 2 [Source:HGNC Symbol;Acc:HGNC:23030]
4899	Ceacam19	ENSMUSG00000049848	4899.1.1	CEACAM19	ENSG00000186567	CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]
4905	Cebpa	ENSMUSG00000034957	4905.1.1	CEBPA	ENSG00000245848	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]
4906	Cebpb	ENSMUSG00000056501	4906.1.1	CEBPB	ENSG00000172216	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]
4907	Cebpd	ENSMUSG00000071637	4907.1.1	CEBPD	ENSG00000221869	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]
4908	Cebpe	ENSMUSG00000052435	4908.1.1	CEBPE	ENSG00000092067	CCAAT enhancer binding protein epsilon [Source:HGNC Symbol;Acc:HGNC:1836]
4909	Cebpg	ENSMUSG00000056216	4909.1.1	CEBPG	ENSG00000153879	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]
4910	Cebpz	ENSMUSG00000024081	4910.1.1	CEBPZ	ENSG00000115816	CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]
4911	Cebpzos	ENSMUSG00000062691	4911.1.1	CEBPZOS	ENSG00000218739	CEBPZ opposite strand [Source:HGNC Symbol;Acc:HGNC:49288]
4912	Cecr2	ENSMUSG00000071226	4912.1.1	CECR2	ENSG00000099954	CECR2 histone acetyl-lysine reader [Source:HGNC Symbol;Acc:HGNC:1840]
4915	Cel	ENSMUSG00000026818	4915.1.1	CEL	ENSG00000170835	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]
4916	Cela1	ENSMUSG00000023031	4916.1.1	CELA1	ENSG00000139610	chymotrypsin like elastase 1 [Source:HGNC Symbol;Acc:HGNC:3308]
4920	Celf1	ENSMUSG00000005506	4920.1.1	CELF1	ENSG00000149187	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]
4921	Celf2	ENSMUSG00000002107	4921.1.1	CELF2	ENSG00000048740	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]
4922	Celf3	ENSMUSG00000028137	4922.1.1	CELF3	ENSG00000159409	CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]
4923	Celf4	ENSMUSG00000024268	4923.1.1	CELF4	ENSG00000101489	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]
4924	Celf5	ENSMUSG00000034818	4924.1.1	CELF5	ENSG00000161082	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]
4925	Celf6	ENSMUSG00000032297	4925.1.1	CELF6	ENSG00000140488	CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]
4927	Celsr1	ENSMUSG00000016028	4927.1.1	CELSR1	ENSG00000075275	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
4928	Celsr2	ENSMUSG00000068740	4928.1.1	CELSR2	ENSG00000143126	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]
4929	Celsr3	ENSMUSG00000023473	4929.1.1	CELSR3	ENSG00000008300	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]
4930	Cemip	ENSMUSG00000052353	4930.1.1	CEMIP	ENSG00000103888	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]
4931	Cend1	ENSMUSG00000060240	4931.1.1	CEND1	ENSG00000184524	cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:24153]
4932	Cenpa	ENSMUSG00000029177	4932.1.1	CENPA	ENSG00000115163	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]
4933	Cenpb	ENSMUSG00000068267	4933.1.1	CENPB	ENSG00000125817	centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]
4934	Cenpc1	ENSMUSG00000029253	4934.1.1	CENPC	ENSG00000145241	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]
4935	Cenpe	ENSMUSG00000045328	4935.1.1	CENPE	ENSG00000138778	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]
4936	Cenpf	ENSMUSG00000026605	4936.1.1	CENPF	ENSG00000117724	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]
4937	Cenph	ENSMUSG00000045273	4937.1.1	CENPH	ENSG00000153044	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]
4938	Cenpi	ENSMUSG00000031262	4938.1.1	CENPI	ENSG00000102384	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]
4939	Cenpj	ENSMUSG00000064128	4939.1.1	CENPJ	ENSG00000151849	centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]
4940	Cenpk	ENSMUSG00000021714	4940.1.1	CENPK	ENSG00000123219	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]
4941	Cenpl	ENSMUSG00000026708	4941.1.1	CENPL	ENSG00000120334	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]
4942	Cenpm	ENSMUSG00000068101	4942.1.1	CENPM	ENSG00000100162	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]
4943	Cenpn	ENSMUSG00000031756	4943.1.1	CENPN	ENSG00000166451	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]
4944	Cenpo	ENSMUSG00000020652	4944.1.1	CENPO	ENSG00000138092	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]
4945	Cenpp	ENSMUSG00000021391	4945.1.1	CENPP	ENSG00000188312	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]
4946	Cenpq	ENSMUSG00000023919	4946.1.1	CENPQ	ENSG00000031691	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]
4947	Cenpt	ENSMUSG00000036672	4947.1.1	CENPT	ENSG00000102901	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]
4948	Cenpu	ENSMUSG00000031629	4948.1.1	CENPU	ENSG00000151725	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]
4949	Cenpv	ENSMUSG00000018509	4949.1.1	CENPV	ENSG00000166582	centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]
4950	Cenpw	ENSMUSG00000075266	4950.1.1	CENPW	ENSG00000203760	centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]
4951	Cep104	ENSMUSG00000039523	4951.1.1	CEP104	ENSG00000116198	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]
4952	Cep112	ENSMUSG00000020728	4952.1.1	CEP112	ENSG00000154240	centrosomal protein 112 [Source:HGNC Symbol;Acc:HGNC:28514]
4954	Cep120	ENSMUSG00000048799	4954.1.1	CEP120	ENSG00000168944	centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690]
4955	Cep128	ENSMUSG00000061533	4955.1.1	CEP128	ENSG00000100629	centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]
4956	Cep131	ENSMUSG00000039781	4956.1.1	CEP131	ENSG00000141577	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]
4957	Cep135	ENSMUSG00000036403	4957.1.1	CEP135	ENSG00000174799	centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]
4958	Cep152	ENSMUSG00000068394	4958.1.1	CEP152	ENSG00000103995	centrosomal protein 152 [Source:HGNC Symbol;Acc:HGNC:29298]
4959	Cep162	ENSMUSG00000056919	4959.1.1	CEP162	ENSG00000135315	centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]
4960	Cep164	ENSMUSG00000043987	4960.1.1	CEP164	ENSG00000110274	centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]
4961	Cep170	ENSMUSG00000057335	4961.1.1	CEP170	ENSG00000143702	centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]
4962	Cep170b	ENSMUSG00000072825	4962.1.1	CEP170B	ENSG00000099814	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]
4963	Cep19	ENSMUSG00000035790	4963.1.1	CEP19	ENSG00000174007	centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]
4964	Cep192	ENSMUSG00000024542	4964.1.1	CEP192	ENSG00000101639	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]
4965	Cep250	ENSMUSG00000038241	4965.1.1	CEP250	ENSG00000126001	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]
4966	Cep290	ENSMUSG00000019971	4966.1.1	CEP290	ENSG00000198707	centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]
4967	Cep295	ENSMUSG00000046111	4967.1.1	CEP295	ENSG00000166004	centrosomal protein 295 [Source:HGNC Symbol;Acc:HGNC:29366]
4968	Cep350	ENSMUSG00000033671	4968.1.1	CEP350	ENSG00000135837	centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238]
4969	Cep41	ENSMUSG00000029790	4969.1.1	CEP41	ENSG00000106477	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]
4970	Cep44	ENSMUSG00000038215	4970.1.1	CEP44	ENSG00000164118	centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356]
4971	Cep55	ENSMUSG00000024989	4971.1.1	CEP55	ENSG00000138180	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]
4972	Cep57	ENSMUSG00000031922	4972.1.1	CEP57	ENSG00000166037	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]
4973	Cep57l1	ENSMUSG00000019813	4973.1.1	CEP57L1	ENSG00000183137	centrosomal protein 57 like 1 [Source:HGNC Symbol;Acc:HGNC:21561]
4974	Cep63	ENSMUSG00000032534	4974.1.1	CEP63	ENSG00000182923	centrosomal protein 63 [Source:HGNC Symbol;Acc:HGNC:25815]
4975	Cep68	ENSMUSG00000044066	4975.1.1	CEP68	ENSG00000011523	centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]
4976	Cep70	ENSMUSG00000056267	4976.1.1	CEP70	ENSG00000114107	centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]
4977	Cep72	ENSMUSG00000021572	4977.1.1	CEP72	ENSG00000112877	centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]
4978	Cep76	ENSMUSG00000073542	4978.1.1	CEP76	ENSG00000101624	centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]
4979	Cep78	ENSMUSG00000041491	4979.1.1	CEP78	ENSG00000148019	centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740]
4980	Cep83	ENSMUSG00000020024	4980.1.1	CEP83	ENSG00000173588	centrosomal protein 83 [Source:HGNC Symbol;Acc:HGNC:17966]
4982	Cep85	ENSMUSG00000037443	4982.1.1	CEP85	ENSG00000130695	centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]
4983	Cep85l	ENSMUSG00000038594	4983.1.1	CEP85L	ENSG00000111860	centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]
4984	Cep89	ENSMUSG00000023072	4984.1.1	CEP89	ENSG00000121289	centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907]
4985	Cep95	ENSMUSG00000018372	4985.1.1	CEP95	ENSG00000258890	centrosomal protein 95 [Source:HGNC Symbol;Acc:HGNC:25141]
4986	Cep97	ENSMUSG00000022604	4986.1.1	CEP97	ENSG00000182504	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]
4987	Cept1	ENSMUSG00000040774	4987.1.1	CEPT1	ENSG00000134255	choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289]
4989	Cercam	ENSMUSG00000039787	4989.1.1	CERCAM	ENSG00000167123	cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]
4990	Cerk	ENSMUSG00000035891	4990.1.1	CERK	ENSG00000100422	ceramide kinase [Source:HGNC Symbol;Acc:HGNC:19256]
4991	Cerkl	ENSMUSG00000075256	4991.1.1	CERKL	ENSG00000188452	ceramide kinase like [Source:HGNC Symbol;Acc:HGNC:21699]
4992	Cers2	ENSMUSG00000015714	4992.1.1	CERS2	ENSG00000143418	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]
4993	Cers3	ENSMUSG00000030510	4993.1.1	CERS3	ENSG00000154227	ceramide synthase 3 [Source:HGNC Symbol;Acc:HGNC:23752]
4994	Cers4	ENSMUSG00000008206	4994.1.1	CERS4	ENSG00000090661	ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]
4995	Cers5	ENSMUSG00000023021	4995.1.1	CERS5	ENSG00000139624	ceramide synthase 5 [Source:HGNC Symbol;Acc:HGNC:23749]
4996	Cers6	ENSMUSG00000027035	4996.1.1	CERS6	ENSG00000172292	ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]
5014	Ces4a	ENSMUSG00000060560	5014.1.1	CES4A	ENSG00000172824	carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]
5015	Ces5a	ENSMUSG00000058019	5015.1.1	CES5A	ENSG00000159398	carboxylesterase 5A [Source:HGNC Symbol;Acc:HGNC:26459]
5016	Cetn1	ENSMUSG00000050996	5016.1.1	CETN1	ENSG00000177143	centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866]
5017	Cetn2	ENSMUSG00000031347	5017.1.1	CETN2	ENSG00000147400	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]
5018	Cetn3	ENSMUSG00000021537	5018.1.1	CETN3	ENSG00000153140	centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868]
5020	Cfap126	ENSMUSG00000026649	5020.1.1	CFAP126	ENSG00000188931	cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325]
5021	Cfap20	ENSMUSG00000031796	5021.1.1	CFAP20	ENSG00000070761	cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523]
5022	Cfap221	ENSMUSG00000036962	5022.1.1	CFAP221	ENSG00000163075	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]
5023	Cfap36	ENSMUSG00000020462	5023.1.1	CFAP36	ENSG00000163001	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]
5024	Cfap43	ENSMUSG00000044948	5024.1.1	CFAP43	ENSG00000197748	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]
5025	Cfap44	ENSMUSG00000071550	5025.1.1	CFAP44	ENSG00000206530	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]
5026	Cfap45	ENSMUSG00000026546	5026.1.1	CFAP45	ENSG00000213085	cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229]
5027	Cfap46	ENSMUSG00000049571	5027.1.1	CFAP46	ENSG00000171811	cilia and flagella associated protein 46 [Source:HGNC Symbol;Acc:HGNC:25247]
5028	Cfap52	ENSMUSG00000020904	5028.1.1	CFAP52	ENSG00000166596	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]
5030	Cfap54	ENSMUSG00000020014	5030.1.1	CFAP54	ENSG00000188596	cilia and flagella associated protein 54 [Source:HGNC Symbol;Acc:HGNC:26456]
5031	Cfap57	ENSMUSG00000028730	5031.1.1	CFAP57	ENSG00000243710	cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485]
5032	Cfap58	ENSMUSG00000046585	5032.1.1	CFAP58	ENSG00000120051	cilia and flagella associated protein 58 [Source:HGNC Symbol;Acc:HGNC:26676]
5033	Cfap61	ENSMUSG00000037143	5033.1.1	CFAP61	ENSG00000089101	cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]
5034	Cfap69	ENSMUSG00000040473	5034.1.1	CFAP69	ENSG00000105792	cilia and flagella associated protein 69 [Source:HGNC Symbol;Acc:HGNC:26107]
5035	Cfap70	ENSMUSG00000039543	5035.1.1	CFAP70	ENSG00000156042	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]
5036	Cfap74	ENSMUSG00000078490	5036.1.1	CFAP74	ENSG00000142609	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]
5037	Cfap97	ENSMUSG00000031631	5037.1.1	CFAP97	ENSG00000164323	cilia and flagella associated protein 97 [Source:HGNC Symbol;Acc:HGNC:29276]
5038	Cfap99	ENSMUSG00000109572	5038.1.1	CFAP99	ENSG00000206113	cilia and flagella associated protein 99 [Source:HGNC Symbol;Acc:HGNC:51180]
5039	Cfb	ENSMUSG00000090231	5039.1.1	CFB	ENSG00000243649	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]
5041	Cfd	ENSMUSG00000061780	5041.1.1	CFD	ENSG00000197766	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]
5042	Cfdp1	ENSMUSG00000031954	5042.1.1	CFDP1	ENSG00000153774	craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873]
5047	Cfi	ENSMUSG00000058952	5047.1.1	CFI	ENSG00000205403	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]
5048	Cfl1	ENSMUSG00000056201	5048.1.1	CFL1	ENSG00000172757	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]
5049	Cfl2	ENSMUSG00000062929	5049.1.1	CFL2	ENSG00000165410	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
5050	Cflar	ENSMUSG00000026031	5050.1.1	CFLAR	ENSG00000003402	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
5051	Cfp	ENSMUSG00000001128	5051.1.1	CFP	ENSG00000126759	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]
5052	Cftr	ENSMUSG00000041301	5052.1.1	CFTR	ENSG00000001626	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
5053	Cga	ENSMUSG00000028298	5053.1.1	CGA	ENSG00000135346	glycoprotein hormones, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:1885]
5054	Cggbp1	ENSMUSG00000054604	5054.1.1	CGGBP1	ENSG00000163320	CGG triplet repeat binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1888]
5055	Cgn	ENSMUSG00000068876	5055.1.1	CGN	ENSG00000143375	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]
5056	Cgnl1	ENSMUSG00000032232	5056.1.1	CGNL1	ENSG00000128849	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]
5057	Cgref1	ENSMUSG00000029161	5057.1.1	CGREF1	ENSG00000138028	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]
5058	Cgrrf1	ENSMUSG00000055128	5058.1.1	CGRRF1	ENSG00000100532	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]
5059	Ch25h	ENSMUSG00000050370	5059.1.1	CH25H	ENSG00000138135	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]
5060	Chac1	ENSMUSG00000027313	5060.1.1	CHAC1	ENSG00000128965	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]
5061	Chac2	ENSMUSG00000020309	5061.1.1	CHAC2	ENSG00000143942	ChaC glutathione specific gamma-glutamylcyclotransferase 2 [Source:HGNC Symbol;Acc:HGNC:32363]
5062	Chad	ENSMUSG00000039084	5062.1.1	CHAD	ENSG00000136457	chondroadherin [Source:HGNC Symbol;Acc:HGNC:1909]
5063	Chadl	ENSMUSG00000063765	5063.1.1	CHADL	ENSG00000100399	chondroadherin like [Source:HGNC Symbol;Acc:HGNC:25165]
5064	Chaf1a	ENSMUSG00000002835	5064.1.1	CHAF1A	ENSG00000167670	chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]
5065	Chaf1b	ENSMUSG00000022945	5065.1.1	CHAF1B	ENSG00000159259	chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]
5066	Champ1	ENSMUSG00000047710	5066.1.1	CHAMP1	ENSG00000198824	chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311]
5067	Chat	ENSMUSG00000021919	5067.1.1	CHAT	ENSG00000070748	choline O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:1912]
5068	Chchd1	ENSMUSG00000063787	5068.1.1	CHCHD1	ENSG00000172586	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]
5069	Chchd10	ENSMUSG00000049422	5069.1.1	CHCHD10	ENSG00000250479	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]
5070	Chchd2	ENSMUSG00000070493	5070.1.1	CHCHD2	ENSG00000106153	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]
5071	Chchd3	ENSMUSG00000053768	5071.1.1	CHCHD3	ENSG00000106554	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
5072	Chchd4	ENSMUSG00000034203	5072.1.1	CHCHD4	ENSG00000163528	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]
5073	Chchd5	ENSMUSG00000037938	5073.1.1	CHCHD5	ENSG00000125611	coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]
5074	Chchd6	ENSMUSG00000030086	5074.1.1	CHCHD6	ENSG00000159685	coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28184]
5075	Chchd7	ENSMUSG00000042198	5075.1.1	CHCHD7	ENSG00000170791	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]
5076	Chd1	ENSMUSG00000023852	5076.1.1	CHD1	ENSG00000153922	chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1915]
5077	Chd1l	ENSMUSG00000028089	5077.1.1	CHD1L	ENSG00000131778	chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]
5078	Chd2	ENSMUSG00000078671	5078.1.1	CHD2	ENSG00000173575	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]
5079	Chd3	ENSMUSG00000018474	5079.1.1	CHD3	ENSG00000170004	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]
5081	Chd4	ENSMUSG00000063870	5081.1.1	CHD4	ENSG00000111642	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]
5082	Chd5	ENSMUSG00000005045	5082.1.1	CHD5	ENSG00000116254	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]
5083	Chd6	ENSMUSG00000057133	5083.1.1	CHD6	ENSG00000124177	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]
5084	Chd7	ENSMUSG00000041235	5084.1.1	CHD7	ENSG00000171316	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]
5085	Chd8	ENSMUSG00000053754	5085.1.1	CHD8	ENSG00000100888	chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]
5086	Chd9	ENSMUSG00000056608	5086.1.1	CHD9	ENSG00000177200	chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:HGNC:25701]
5087	Chdh	ENSMUSG00000015970	5087.1.1	CHDH	ENSG00000016391	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]
5088	Chek1	ENSMUSG00000032113	5088.1.1	CHEK1	ENSG00000149554	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]
5089	Chek2	ENSMUSG00000029521	5089.1.1	CHEK2	ENSG00000183765	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]
5090	Cherp	ENSMUSG00000052488	5090.1.1	CHERP	ENSG00000085872	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]
5091	Chfr	ENSMUSG00000014668	5091.1.1	CHFR	ENSG00000072609	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
5092	Chga	ENSMUSG00000021194	5092.1.1	CHGA	ENSG00000100604	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]
5093	Chgb	ENSMUSG00000027350	5093.1.1	CHGB	ENSG00000089199	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]
5095	Chic1	ENSMUSG00000031327	5095.1.1	CHIC1	ENSG00000204116	cysteine rich hydrophobic domain 1 [Source:HGNC Symbol;Acc:HGNC:1934]
5096	Chic2	ENSMUSG00000029229	5096.1.1	CHIC2	ENSG00000109220	cysteine rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]
5097	Chid1	ENSMUSG00000025512	5097.1.1	CHID1	ENSG00000177830	chitinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28474]
5103	Chit1	ENSMUSG00000026450	5103.1.1	CHIT1	ENSG00000133063	chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]
5104	Chka	ENSMUSG00000024843	5104.1.1	CHKA	ENSG00000110721	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]
5105	Chkb	ENSMUSG00000022617	5105.1.1	CHKB	ENSG00000100288	choline kinase beta [Source:HGNC Symbol;Acc:HGNC:1938]
5107	Chl1	ENSMUSG00000030077	5107.1.1	CHL1	ENSG00000134121	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]
5108	Chm	ENSMUSG00000025531	5108.1.1	CHM	ENSG00000188419	CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]
5109	Chml	ENSMUSG00000078185	5109.1.1	CHML	ENSG00000203668	CHM like Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1941]
5110	Chmp1a	ENSMUSG00000000743	5110.1.1	CHMP1A	ENSG00000131165	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]
5111	Chmp1b	ENSMUSG00000109901	5111.1.1	CHMP1B	ENSG00000255112	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]
5112	Chmp2a	ENSMUSG00000033916	5112.1.1	CHMP2A	ENSG00000130724	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]
5113	Chmp2b	ENSMUSG00000004843	5113.1.1	CHMP2B	ENSG00000083937	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]
5114	Chmp3	ENSMUSG00000053119	5114.1.1	CHMP3	ENSG00000115561	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]
5115	Chmp4b	ENSMUSG00000038467	5115.1.1	CHMP4B	ENSG00000101421	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
